Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: BCL6 (Cy5) mean	Nucleus: BCL6 (Cy5) sum	Nucleus: BCL6 (Cy5) std dev	Nucleus: BCL6 (Cy5) max	Nucleus: BCL6 (Cy5) min	Nucleus: BCL6 (Cy5) range	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: BCL2 (Opal 520) mean	Nucleus: BCL2 (Opal 520) sum	Nucleus: BCL2 (Opal 520) std dev	Nucleus: BCL2 (Opal 520) max	Nucleus: BCL2 (Opal 520) min	Nucleus: BCL2 (Opal 520) range	Nucleus: CD20 (Opal 540) mean	Nucleus: CD20 (Opal 540) sum	Nucleus: CD20 (Opal 540) std dev	Nucleus: CD20 (Opal 540) max	Nucleus: CD20 (Opal 540) min	Nucleus: CD20 (Opal 540) range	Nucleus: MYC (Opal 570) mean	Nucleus: MYC (Opal 570) sum	Nucleus: MYC (Opal 570) std dev	Nucleus: MYC (Opal 570) max	Nucleus: MYC (Opal 570) min	Nucleus: MYC (Opal 570) range	Nucleus: Ki67 (Opal 620) mean	Nucleus: Ki67 (Opal 620) sum	Nucleus: Ki67 (Opal 620) std dev	Nucleus: Ki67 (Opal 620) max	Nucleus: Ki67 (Opal 620) min	Nucleus: Ki67 (Opal 620) range	Nucleus: Autofluorescence mean	Nucleus: Autofluorescence sum	Nucleus: Autofluorescence std dev	Nucleus: Autofluorescence max	Nucleus: Autofluorescence min	Nucleus: Autofluorescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: BCL6 (Cy5) mean	Cell: BCL6 (Cy5) std dev	Cell: BCL6 (Cy5) max	Cell: BCL6 (Cy5) min	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: BCL2 (Opal 520) mean	Cell: BCL2 (Opal 520) std dev	Cell: BCL2 (Opal 520) max	Cell: BCL2 (Opal 520) min	Cell: CD20 (Opal 540) mean	Cell: CD20 (Opal 540) std dev	Cell: CD20 (Opal 540) max	Cell: CD20 (Opal 540) min	Cell: MYC (Opal 570) mean	Cell: MYC (Opal 570) std dev	Cell: MYC (Opal 570) max	Cell: MYC (Opal 570) min	Cell: Ki67 (Opal 620) mean	Cell: Ki67 (Opal 620) std dev	Cell: Ki67 (Opal 620) max	Cell: Ki67 (Opal 620) min	Cell: Autofluorescence mean	Cell: Autofluorescence std dev	Cell: Autofluorescence max	Cell: Autofluorescence min	Cytoplasm: BCL6 (Cy5) mean	Cytoplasm: BCL6 (Cy5) std dev	Cytoplasm: BCL6 (Cy5) max	Cytoplasm: BCL6 (Cy5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: BCL2 (Opal 520) mean	Cytoplasm: BCL2 (Opal 520) std dev	Cytoplasm: BCL2 (Opal 520) max	Cytoplasm: BCL2 (Opal 520) min	Cytoplasm: CD20 (Opal 540) mean	Cytoplasm: CD20 (Opal 540) std dev	Cytoplasm: CD20 (Opal 540) max	Cytoplasm: CD20 (Opal 540) min	Cytoplasm: MYC (Opal 570) mean	Cytoplasm: MYC (Opal 570) std dev	Cytoplasm: MYC (Opal 570) max	Cytoplasm: MYC (Opal 570) min	Cytoplasm: Ki67 (Opal 620) mean	Cytoplasm: Ki67 (Opal 620) std dev	Cytoplasm: Ki67 (Opal 620) max	Cytoplasm: Ki67 (Opal 620) min	Cytoplasm: Autofluorescence mean	Cytoplasm: Autofluorescence std dev	Cytoplasm: Autofluorescence max	Cytoplasm: Autofluorescence min	Nucleus/Cell area ratio
NSB__NUH A2_1_HP_IM3_0_Core[1,3,8,1]_[39277,9300.5]_component_data.tif - resolution #1	5bc62237-8ead-4094-9593-2fbc271393ca	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	22.84	2.485	14	14.8692	0.7957	5.2901	4.0031	0.629	6.4988	402.9231	3.033	10.4094	0	10.4094	14.6124	905.9691	2.176	19.6423	10.8876	8.7547	7.2355	448.5984	2.6271	13.4132	2.5601	10.8531	4.6184	286.3392	2.6445	11.3981	0.0005	11.3976	0	0	0	0	0	0	31.1109	1928.8737	12.6256	47.4204	0	47.4204	11.2053	694.7272	6.1062	31.2588	1.9523	29.3065	36.5	23.5504	0.827	8.6719	6	0.6397	4.0863	3.6784	10.4094	0	10.8524	4.0128	19.6423	3.5373	8.8892	2.8818	14.4799	2.5601	6.6178	3.0125	13.6743	0.0005	0	0	0	0	16.2037	16.6249	47.4204	0	14.0127	6.8891	31.2588	1.9523	2.3472	3.081	9.0628	0	8.1416	2.589	13.4872	3.5373	10.0814	2.4448	14.4799	4.362	8.0593	2.3785	13.6743	3.4993	0	0	0	0	5.4567	9.2	35.8416	0	16.0367	6.7399	30.5047	3.8646	0.4034
NSB__NUH A2_1_HP_IM3_0_Core[1,3,8,1]_[39277,9300.5]_component_data.tif - resolution #1	efe6ed8f-d5d0-40da-86b5-4f94b409e12f	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	43.19	3.483	33.5	25.2293	0.6614	8.6564	6.1392	0.7313	8.1594	1150.4819	2.6111	15.1882	3.7442	11.444	15.8378	2233.136	3.1264	23.9575	9.2262	14.7313	7.2509	1022.383	2.4842	14.1148	3.3837	10.7311	4.7886	675.197	2.589	11.4335	0	11.4335	0	0	0	0	0	0	17.5068	2468.4624	10.2488	34.4878	0	34.4878	14.1928	2001.1853	4.1914	26.7616	5.8647	20.897	73	33.044	0.8401	11.9272	8.3766	0.6921	6.3275	2.8911	15.1882	0.0501	11.6171	5.2803	23.9575	2.6167	7.3186	3.0008	14.1431	1.7742	5.4861	2.5239	12.2147	0	0	0	0	0	9.2298	11.0477	34.4878	0	14.3215	3.8416	26.7616	5.8647	4.661	1.9862	12.3912	0.0501	7.7776	3.6573	18.1217	2.6167	7.3802	3.4104	14.1431	1.7742	6.1205	2.293	12.2147	2.1041	0	0	0	0	1.7004	4.3038	20.767	0	14.4387	3.5028	25.1148	8.2479	0.4701
NSB__NUH A2_1_HP_IM3_0_Core[1,3,8,1]_[39277,9300.5]_component_data.tif - resolution #1	9cade97b-b227-497b-bd18-e92c6970c275	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	134.81	1.875	14.75	15.5041	0.7711	5.9874	3.8851	0.8122	0.0576	3.5153	0.2038	1.3287	0	1.3287	16.0052	976.3188	2.7104	22.1395	11.4097	10.7299	0.5178	31.5848	1.0006	4.0543	0	4.0543	10.6078	647.0742	2.9986	18.6466	7.2047	11.4419	0.0264	1.6095	0.2046	1.5982	0	1.5982	0	0	0	0	0	0	16.0604	979.6855	2.4264	20.1055	10.8983	9.2072	29	22.4704	0.7218	8.8167	4.8333	0.8682	0.1345	0.3355	1.7995	0	12.6742	4.2664	22.1395	5.0581	1.3332	1.8311	8.0569	0	10.6724	3.3046	18.8751	5.2429	0.0221	0.1728	1.5982	0	0	0	0	0	15.1299	2.6517	20.1055	9.7199	0.2168	0.4211	1.7995	0	9.1095	2.2669	13.0657	5.0581	2.2058	2.1056	8.0569	0.0001	10.7416	3.6294	18.8751	5.2429	0.0175	0.1322	0.9977	0	0	0	0	0	14.1341	2.5358	19.529	9.7199	0.5031
NSB__NUH A2_1_HP_IM3_0_Core[1,3,8,1]_[39277,9300.5]_component_data.tif - resolution #1	b9dec355-b784-46e4-b696-075952632b64	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	186.94	3.166	19.25	17.9304	0.7524	6.3662	4.3854	0.726	4.0388	323.1066	0.9161	6.364	1.8739	4.49	14.525	1161.9963	4.0594	22.4621	7.8156	14.6465	1.7647	141.178	0.9422	4.5075	0.0082	4.4993	4.2321	338.5673	1.7457	9.5048	1.729	7.7758	0.0478	3.8256	0.1719	1.0255	0	1.0255	0.0879	7.0322	0.2789	1.4312	0	1.4312	12.2687	981.4995	1.929	18.0518	7.5442	10.5077	50.5	26.8215	0.8821	10.1849	7	0.7069	3.1992	1.166	6.364	0.0025	9.7968	4.8645	22.4621	3.216	2.0133	1.2939	4.8274	0	5.9991	2.4825	13.1	1.729	0.0266	0.1268	1.0255	0	0.0346	0.1796	1.4312	0	13.4466	2.4552	22.9037	7.5442	2.653	0.9718	5.886	0.0025	6.7215	2.0775	14.6741	3.216	2.175	1.4595	4.8274	0	7.1484	2.2026	13.1	2.3678	0.0127	0.0837	0.6591	0	0	0	0	0	14.2126	2.4637	22.9037	9.0291	0.3751
NSB__NUH A2_1_HP_IM3_0_Core[1,3,8,1]_[39277,9300.5]_component_data.tif - resolution #1	c204c912-7539-4d7e-883c-c274de79d2f0	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	202.62	2.53	17.5	15.5078	0.9144	5.945	3.7504	0.8017	1.4308	103.02	0.8374	3.7491	0	3.7491	10.273	739.6577	2.0463	14.7684	6.615	8.1535	4.3715	314.7477	0.9483	6.4936	2.0049	4.4887	6.3212	455.1248	2.0586	11.2436	3.1417	8.102	0	0	0	0	0	0	0	0	0	0	0	0	12.0576	868.1506	2.1041	17.6341	8.7601	8.874	43.25	25.2191	0.8546	9.408	5.5	0.8027	1.674	0.8568	3.7491	0	6.0163	3.9427	14.7684	1.4454	3.3538	1.4677	6.4936	0.066	6.3083	2.3365	13.4284	2.5093	0.0027	0.025	0.2742	0	0.0992	0.4305	3.2512	0	11.8447	2.3142	17.6341	7.6584	1.8423	0.833	3.6413	0	3.0694	1.4456	8.9199	1.4454	2.6492	1.3472	5.6984	0.066	6.2994	2.5207	13.4284	2.5093	0.0046	0.0325	0.2742	0	0.1679	0.5506	3.2512	0	11.6973	2.4482	17.5787	7.6584	0.3967
NSB__NUH A2_1_HP_IM3_0_Core[1,3,8,1]_[39277,9300.5]_component_data.tif - resolution #1	d5cacb4c-1820-483f-bd22-4e4ebd7699b4	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	224.15	3.044	34.5	22.8726	0.8287	8.3219	6.0784	0.6276	4.2233	591.2678	1.2162	7.4627	2.3005	5.1622	18.1379	2539.3096	3.7527	30.9378	11.2541	19.6837	1.622	227.0749	0.5577	5.1974	0.8469	4.3504	1.9576	274.058	0.6713	5.1568	0.7625	4.3943	0.0015	0.2098	0.0172	0.203	0	0.203	0.0893	12.5049	0.2891	2.0465	0	2.0465	11.1963	1567.4753	1.2652	14.2965	8.2999	5.9966	58.5	29.9725	0.8183	10.7598	7	0.7344	4.1383	1.4039	9.7801	1.5677	14.9675	5.1617	30.9378	4.09	1.7208	0.8612	7.1036	0.5687	2.4294	1.4757	10.8437	0.7625	0.004	0.0349	0.4615	0	0.1126	0.3263	2.0465	0	11.1538	1.4184	16.9711	8.2999	4.0167	1.6341	9.7801	1.5677	10.4383	3.1122	18.3988	4.09	1.8619	1.1542	7.1036	0.5687	3.1034	1.9735	10.8437	1.367	0.0076	0.0503	0.4615	0	0.1458	0.372	1.6839	0	11.0932	1.6172	16.9711	8.9915	0.591
NSB__NUH A2_1_HP_IM3_0_Core[1,3,8,1]_[39277,9300.5]_component_data.tif - resolution #1	aa6b78ec-6984-4fd3-8750-6c834d729942	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	258.15	2.749	24.5	21.0485	0.6949	8.138	4.56	0.835	1.0518	107.2818	1.205	3.9099	0	3.9099	31.1284	3175.0942	7.11	46.0854	17.8527	28.2326	6.188	631.1758	1.4187	10.47	3.5995	6.8705	6.5032	663.3285	2.0726	11.0661	2.5683	8.4978	0	0	0	0	0	0	2.7549	280.9951	4.8257	16.2023	0	16.2023	15.8139	1613.0192	4.122	26.8704	6.6989	20.1715	53.5	28.2798	0.8406	11.1787	6.3123	0.8118	0.8202	1.1845	4.5302	0	21.5886	11.0572	46.0854	4.9512	6.7954	2.2053	13.1358	1.8538	7.5882	2.5609	14.6079	2.5683	0	0	0	0	1.9218	4.1418	17.0038	0	15.612	4.3997	30.1836	6.6989	0.6147	1.1321	4.5302	0	13.1273	5.7634	33.1917	4.9512	7.3342	2.6094	13.1358	1.8538	8.5504	2.5755	14.6079	2.6831	0	0	0	0	1.1829	3.2711	17.0038	0	15.433	4.6427	30.1836	7.6003	0.4476
NSB__NUH A2_1_HP_IM3_0_Core[1,3,8,1]_[39277,9300.5]_component_data.tif - resolution #1	251fc5a8-b7f7-4938-a1f7-bb368761064a	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	292.69	3.108	23.75	17.9422	0.9271	6.3346	4.7789	0.6876	2.2568	216.6535	1.8843	6.427	0	6.427	11.6095	1114.5093	2.4364	21.3312	7.9983	13.3329	7.7387	742.9179	1.2804	10.5656	4.2126	6.353	10.4379	1002.0381	3.7576	19.9503	4.8997	15.0506	0	0	0	0	0	0	0.1195	11.4683	0.7011	5.1569	0	5.1569	13.2416	1271.1914	2.0768	20.6098	7.4736	13.1362	52.75	26.8986	0.9162	9.5462	7	0.625	1.1655	1.684	6.427	0	8.1759	4.1554	21.3312	1.9195	5.6483	3.1296	10.5656	0	13.9462	5.016	25.0851	4.8997	0	0	0	0	0.0541	0.4742	5.1569	0	15.3849	3.5045	27.4665	7.4736	0.2623	0.6731	3.3321	0	5.3343	2.9651	12.7236	1.9195	3.9182	3.1543	10.4896	0	16.8496	3.9652	25.0851	6.6738	0	0	0	0	0	0	0	0	17.1586	3.4587	27.4665	11.3635	0.4417
NSB__NUH A2_1_HP_IM3_0_Core[1,3,8,1]_[39277,9300.5]_component_data.tif - resolution #1	0bcda0b1-d4b8-4b35-bff2-baac362d2c61	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	320.09	2.043	11	13.8029	0.7255	5.8488	2.8756	0.8372	2.5292	118.8734	0.4956	3.8117	1.602	2.2096	16.3783	769.7797	3.6671	24.7774	9.0903	15.6871	1.2791	60.1181	0.367	2.0768	0.5261	1.5508	1.3659	64.1952	0.633	2.525	0.0019	2.5231	0.0005	0.0236	0.0034	0.0236	0	0.0236	1.2722	59.7939	1.4558	4.2172	0	4.2172	10.9726	515.7123	2.6231	15.7826	7.0347	8.7479	32.75	22.9928	0.7785	9.2153	4.9132	0.8482	3.15	0.9314	7.1408	1.602	10.7892	5.8291	27.9596	2.5211	1.3104	0.4104	2.5954	0.4731	1.4436	0.5804	2.8481	0.0019	0.0021	0.0223	0.2571	0	1.2075	1.2709	4.2172	0	11.1873	1.9404	15.7826	7.0347	3.4854	0.9411	7.1408	2.0514	7.7698	4.3658	27.9596	2.5211	1.3273	0.4332	2.5954	0.4731	1.4856	0.5492	2.8481	0.0021	0.003	0.0276	0.2571	0	1.1725	1.1666	4.028	0	11.3033	1.4503	14.4985	7.2368	0.3265
NSB__NUH A2_1_HP_IM3_0_Core[1,3,8,1]_[39277,9300.5]_component_data.tif - resolution #1	20653565-1621-47ee-a0ed-b2ab5f853fc5	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	408	2.222	10.5	12.1114	0.8995	4.556	2.8517	0.7479	2.5373	114.1791	0.9644	4.5029	0.2776	4.2253	20.5519	924.8377	4.3475	28.5743	13.0785	15.4958	2.2512	101.303	0.7535	4.3506	0.7598	3.5908	4.8408	217.8377	1.7243	8.8829	1.9652	6.9177	0	0	0	0	0	0	0.3661	16.4759	0.8227	3.0126	0	3.0126	15.3417	690.3763	2.6747	19.6582	9.4624	10.1958	29	20.1333	0.899	7.1754	5	0.6869	2.4142	1.0191	4.6382	0	12.7862	7.5855	28.5743	2.3229	2.4161	0.881	5.5094	0.7598	5.6535	2.3119	11.9217	1.9652	0	0	0	0	0.2954	0.7736	3.6922	0	15.1978	2.654	20.8042	9.2031	2.3384	1.0507	4.6382	0	7.999	4.5852	23.4155	2.3229	2.5178	0.9418	5.5094	1.0478	6.1544	2.4903	11.9217	2.2017	0	0	0	0	0.2518	0.7441	3.6922	0	15.1091	2.6558	20.8042	9.2031	0.3451
NSB__NUH A2_1_HP_IM3_0_Core[1,3,8,1]_[39277,9300.5]_component_data.tif - resolution #1	cc37c10f-cbcf-4212-85c3-9b8c1e4e01dc	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	425.54	1.707	10	12.6593	0.7841	5.2501	2.2972	0.8895	1.251	52.5431	1.6827	4.5768	0	4.5768	12.9911	545.6275	1.3495	16.2161	10.9746	5.2415	7.5791	318.3237	1.7486	11.3035	3.8937	7.4097	14.4343	606.2399	3.4822	21.6103	9.0736	12.5368	0	0	0	0	0	0	0	0	0	0	0	0	15.1662	636.9821	1.7675	20.3074	11.9879	8.3195	23.25	18.9957	0.8097	7.3855	4	0.8308	0.869	1.4047	4.5768	0	10.1682	3.4303	16.2161	3.0182	7.3415	3.5933	14.1152	0	15.2954	3.5629	22.5317	8.7182	0	0	0	0	0	0	0	0	15.7453	3.0124	23.8671	10.4365	0.5663	1.0597	3.6636	0	7.9311	2.8806	13.4486	3.0182	7.1532	4.5659	14.1152	0	15.9779	3.509	22.5317	8.7182	0	0	0	0	0	0	0	0	16.2042	3.6681	23.8671	10.4365	0.4008
NSB__NUH A2_1_HP_IM3_0_Core[1,3,8,1]_[39277,9300.5]_component_data.tif - resolution #1	8ed51dc2-8ba2-4672-b590-3cb99aa560f2	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	496.01	7.191	100.75	55.8802	0.4055	15.8515	10.3034	0.8176	2.6637	1078.8104	2.0024	7.7674	0	7.7674	17.3958	7045.293	3.6946	27.6363	8.8725	18.7638	6.0628	2455.4429	2.2353	11.0494	1.6335	9.4159	5.835	2363.1736	2.2708	12.98	0	12.98	0	0	0	0	0	0	8.4816	3435.0315	8.7476	31.1154	0	31.1154	15.4254	6247.3057	4.2091	29.1746	7.247	21.9276	187.75	56.4866	0.7394	19.0739	13.6203	0.6826	2.4166	1.9318	7.7674	0	14.1477	5.0769	27.6363	3.4176	5.6691	2.5034	13.05	0.2541	6.4578	3.4863	20.7679	0	0	0	0	0	6.5131	8.8185	32.6759	0	16.4242	4.6885	35.1957	7.247	2.1289	1.8069	7.7405	0	10.3676	3.6498	19.9214	3.4176	5.2109	2.7153	13.05	0.2541	7.1825	4.3996	20.7679	0	0	0	0	0	4.2223	8.3461	32.6759	0	17.5865	4.9489	35.1957	7.3698	0.5418
NSB__NUH A2_1_HP_IM3_0_Core[1,3,8,1]_[39277,9300.5]_component_data.tif - resolution #1	8ddd785c-bf41-4ec6-bb8a-fff669567eaf	PathCellObject		DAPI	Polygon	514.32	2.443	15.5	16.2296	0.7395	5.9422	3.9835	0.8046	2.1671	149.533	0.4099	3.2568	1.5517	1.7051	7.4514	514.1432	1.7613	11.5379	4.6485	6.8894	1.4844	102.4245	0.27	2.1364	0.6588	1.4776	2.9643	204.5383	0.9553	5.8669	1.3944	4.4725	0	0	0	0	0	0	0.021	1.4481	0.1219	0.7507	0	0.7507	12.7531	879.961	1.1577	14.5069	9.6826	4.8243	41.5	24.8816	0.8424	9.1537	5.5	0.8148	1.8437	0.5542	3.2568	0	4.9501	2.4926	11.5379	1.5959	1.4269	0.4962	4.5035	0	3.3625	2.1475	12.8906	1.3944	0	0	0	0	0.0444	0.2005	1.1778	0	11.9563	2.7764	25.99	6.562	1.6159	0.5302	2.6423	0	3.1891	0.9353	5.2313	1.5959	1.3865	0.6051	4.5035	0	3.6428	2.6571	12.8906	1.4079	0	0	0	0	0.0609	0.2403	1.1778	0	11.3953	3.3887	25.99	6.562	0.3965
