Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: BCL6 (Cy5) mean	Nucleus: BCL6 (Cy5) sum	Nucleus: BCL6 (Cy5) std dev	Nucleus: BCL6 (Cy5) max	Nucleus: BCL6 (Cy5) min	Nucleus: BCL6 (Cy5) range	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: BCL2 (Opal 520) mean	Nucleus: BCL2 (Opal 520) sum	Nucleus: BCL2 (Opal 520) std dev	Nucleus: BCL2 (Opal 520) max	Nucleus: BCL2 (Opal 520) min	Nucleus: BCL2 (Opal 520) range	Nucleus: CD20 (Opal 540) mean	Nucleus: CD20 (Opal 540) sum	Nucleus: CD20 (Opal 540) std dev	Nucleus: CD20 (Opal 540) max	Nucleus: CD20 (Opal 540) min	Nucleus: CD20 (Opal 540) range	Nucleus: MYC (Opal 570) mean	Nucleus: MYC (Opal 570) sum	Nucleus: MYC (Opal 570) std dev	Nucleus: MYC (Opal 570) max	Nucleus: MYC (Opal 570) min	Nucleus: MYC (Opal 570) range	Nucleus: Ki67 (Opal 620) mean	Nucleus: Ki67 (Opal 620) sum	Nucleus: Ki67 (Opal 620) std dev	Nucleus: Ki67 (Opal 620) max	Nucleus: Ki67 (Opal 620) min	Nucleus: Ki67 (Opal 620) range	Nucleus: Autofluorescence mean	Nucleus: Autofluorescence sum	Nucleus: Autofluorescence std dev	Nucleus: Autofluorescence max	Nucleus: Autofluorescence min	Nucleus: Autofluorescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: BCL6 (Cy5) mean	Cell: BCL6 (Cy5) std dev	Cell: BCL6 (Cy5) max	Cell: BCL6 (Cy5) min	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: BCL2 (Opal 520) mean	Cell: BCL2 (Opal 520) std dev	Cell: BCL2 (Opal 520) max	Cell: BCL2 (Opal 520) min	Cell: CD20 (Opal 540) mean	Cell: CD20 (Opal 540) std dev	Cell: CD20 (Opal 540) max	Cell: CD20 (Opal 540) min	Cell: MYC (Opal 570) mean	Cell: MYC (Opal 570) std dev	Cell: MYC (Opal 570) max	Cell: MYC (Opal 570) min	Cell: Ki67 (Opal 620) mean	Cell: Ki67 (Opal 620) std dev	Cell: Ki67 (Opal 620) max	Cell: Ki67 (Opal 620) min	Cell: Autofluorescence mean	Cell: Autofluorescence std dev	Cell: Autofluorescence max	Cell: Autofluorescence min	Cytoplasm: BCL6 (Cy5) mean	Cytoplasm: BCL6 (Cy5) std dev	Cytoplasm: BCL6 (Cy5) max	Cytoplasm: BCL6 (Cy5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: BCL2 (Opal 520) mean	Cytoplasm: BCL2 (Opal 520) std dev	Cytoplasm: BCL2 (Opal 520) max	Cytoplasm: BCL2 (Opal 520) min	Cytoplasm: CD20 (Opal 540) mean	Cytoplasm: CD20 (Opal 540) std dev	Cytoplasm: CD20 (Opal 540) max	Cytoplasm: CD20 (Opal 540) min	Cytoplasm: MYC (Opal 570) mean	Cytoplasm: MYC (Opal 570) std dev	Cytoplasm: MYC (Opal 570) max	Cytoplasm: MYC (Opal 570) min	Cytoplasm: Ki67 (Opal 620) mean	Cytoplasm: Ki67 (Opal 620) std dev	Cytoplasm: Ki67 (Opal 620) max	Cytoplasm: Ki67 (Opal 620) min	Cytoplasm: Autofluorescence mean	Cytoplasm: Autofluorescence std dev	Cytoplasm: Autofluorescence max	Cytoplasm: Autofluorescence min	Nucleus/Cell area ratio
NSB__NUH B2_1_HP_IM3_0_Core[1,2,13,1]_component_data.tif - resolution #1	73b49571-0ba0-4fb3-a21f-901250274e81	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	60.53	2.822	12	14.0244	0.7667	4.7623	3.6503	0.7114	4.5899	247.8559	3.5152	14.6518	1.332	13.3199	9.6562	521.4327	1.0274	11.859	6.7852	5.0738	0.3167	17.1031	0.2452	0.9851	0	0.9851	2.7735	149.7679	0.7686	4.528	1.1984	3.3297	0.1516	8.1851	0.259	0.9985	0	0.9985	3.8822	209.6406	4.5344	14.205	0	14.205	14.3028	772.3537	2.2901	21.4426	10.6461	10.7966	28.75	20.4412	0.8646	7.9042	5.174	0.7379	4.6474	4.1224	18.1985	1.1257	8.4744	1.8317	11.859	2.9414	0.251	0.2721	1.0034	0	2.736	0.9614	5.8254	0.875	0.227	0.3929	2.448	0	4.0234	4.7708	18.7793	0	14.6011	2.3762	21.4426	10.585	4.6967	4.6074	18.1985	1.1257	7.4614	1.7653	10.4519	2.9414	0.1946	0.2831	1.0034	0	2.7038	1.1054	5.8254	0.875	0.2917	0.4714	2.448	0	4.1445	4.9975	18.7793	0	14.8568	2.4365	21.1838	10.585	0.4442
NSB__NUH B2_1_HP_IM3_0_Core[1,2,13,1]_component_data.tif - resolution #1	7f89ff08-f4fd-46d5-98a6-24d3831d4e62	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	66.84	3.275	19.5	16.4873	0.9015	5.6788	4.5707	0.4644	2.0927	167.4196	1.1874	7.0328	0.7913	6.2414	11.4921	919.3718	2.2891	15.3264	6.3739	8.9525	0.0306	2.4513	0.0765	0.4109	0	0.4109	3.0003	240.0223	0.5927	4.6973	1.6751	3.0222	0	0	0	0	0	0	9.3658	749.2637	5.4689	25.7933	3.6522	22.1411	18.5104	1480.8351	5.3409	34.725	11.1427	23.5823	45.75	25.6438	0.8742	8.7501	7.2261	0.35	2.5055	1.4604	7.5218	0.6866	7.3988	4.2978	15.3264	1.0008	0.0273	0.0801	0.5372	0	3.4105	1.167	7.628	1.6751	0.1104	0.4475	3.9768	0	7.2043	5.9025	25.7933	0	21.2958	7.8473	47.5142	9.8405	2.8291	1.5743	7.5218	0.6866	4.1883	2.307	11.0791	1.0008	0.0247	0.0831	0.5372	0	3.7323	1.3885	7.628	1.8349	0.1969	0.5845	3.9768	0	5.5091	5.6955	25.3093	0	23.4804	8.7796	47.5142	9.8405	0.4363
NSB__NUH B2_1_HP_IM3_0_Core[1,2,13,1]_component_data.tif - resolution #1	b10a6598-e5d1-45d2-8613-b230cfaba8cc	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	203.24	5.115	36.25	24.4467	0.7622	9.7736	4.8845	0.8798	3.6641	549.6193	1.657	8.5426	1.3231	7.2196	12.9336	1940.0411	2.9894	19.4444	5.7514	13.693	0.4996	74.9434	0.3536	1.5452	0	1.5452	1.6997	254.9502	0.6972	3.2526	0	3.2526	0.1523	22.8438	0.3189	1.6321	0	1.6321	9.1079	1366.1917	6.6065	26.6263	0.294	26.3323	16.5121	2476.8105	2.7763	22.2224	7.8922	14.3302	80	33.9126	0.8741	12.4946	8.4955	0.7431	3.1185	1.5806	8.5426	0.7445	7.8724	5.5051	19.4444	0.6048	0.3651	0.3236	1.5452	0	1.8881	0.6624	3.9413	0	0.2941	0.4174	1.7555	0	6.3825	6.5999	26.6263	0	14.833	3.3653	22.2224	7.8922	2.6371	1.3407	7.6121	0.7445	3.4067	2.5554	13.5181	0.6048	0.2465	0.2391	1.0769	0	2.0544	0.5834	3.9413	0.3147	0.4193	0.4535	1.7555	0	3.9778	5.5973	20.9804	0	13.3514	3.1419	21.6271	7.9495	0.4465
NSB__NUH B2_1_HP_IM3_0_Core[1,2,13,1]_component_data.tif - resolution #1	973e950b-55a5-45a7-a2c6-131bf5b29a5c	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	261.09	3.537	21	19.8994	0.6664	7.0718	5.1276	0.6654	5.5607	500.4648	1.2769	9.2509	2.7863	6.4646	7.5759	681.8322	2.2754	12.4744	3.7944	8.68	0.4772	42.9477	0.368	1.3804	0.0008	1.3796	1.362	122.5815	0.9849	4.0899	0	4.0899	0.0473	4.2595	0.1259	0.6074	0	0.6074	12.3139	1108.2533	5.9083	27.8431	4.2881	23.555	16.7896	1511.0653	3.3627	27.3123	9.4582	17.8541	57	28.5716	0.8774	10.5729	7	0.7249	4.5011	1.6778	9.2509	0.9051	4.8268	2.8442	12.4744	0.7545	0.2758	0.329	1.3804	0	2.2216	1.4677	7.183	0	0.3672	0.7224	3.1216	0	7.4028	6.2283	27.8431	0	17.0435	4.1121	27.3123	7.9973	3.8247	1.5511	8.4451	0.9051	3.072	1.4278	6.7128	0.7545	0.1472	0.2215	0.9305	0	2.7704	1.4643	7.183	0.0592	0.5713	0.8599	3.1216	0	4.268	4.017	16.9294	0	17.2056	4.5303	26.0555	7.9973	0.3742
NSB__NUH B2_1_HP_IM3_0_Core[1,2,13,1]_component_data.tif - resolution #1	a7391d9a-2729-4786-833c-e2e1b4b4f19e	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	297.45	6.1	62.75	34.1141	0.6776	13.9836	6.7083	0.8829	7.0058	1772.474	2.5638	15.1123	3.0971	12.0152	11.5859	2931.2449	3.1399	20.0179	4.8521	15.1658	0.8512	215.3415	0.3822	1.8509	0.0201	1.8308	0.5807	146.9198	0.7035	2.6198	0	2.6198	0.0091	2.3098	0.0562	0.6378	0	0.6378	21.2239	5369.6382	6.0436	40.2502	7.4839	32.7664	14.9681	3786.9172	3.0985	22.2834	8.046	14.2374	109.5	40.419	0.8423	15.7519	10.1003	0.7164	5.7247	2.5887	15.1123	1.7206	8.8964	4.308	20.0179	1.2871	0.6619	0.4186	1.8509	0	0.987	0.8586	3.2976	0	0.0555	0.1929	1.7663	0	16.0757	8.6588	40.2502	0.2661	14.7177	3.0779	22.2834	7.5475	3.9914	1.2877	8.6854	1.7206	5.2575	2.7008	14.8791	1.2871	0.4058	0.3178	1.4829	0	1.5366	0.7358	3.2976	0	0.1181	0.277	1.7663	0	9.1104	6.5304	37.5986	0.2661	14.3789	3.0251	21.8541	7.5475	0.5781
NSB__NUH B2_1_HP_IM3_0_Core[1,2,13,1]_component_data.tif - resolution #1	72c49484-1434-49ad-80de-262ae04b2f87	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	313.84	3.304	24	20.796	0.6974	7.777	4.2703	0.8407	2.7264	275.3625	1.2286	6.1958	0.8829	5.3129	11.4334	1154.775	3.4376	19.3215	4.3728	14.9486	0.9955	100.5414	0.4154	2.3459	0.3354	2.0106	1.7147	173.1807	0.6315	3.283	0.1622	3.1208	0.0656	6.6209	0.1977	1.4704	0	1.4704	5.887	594.5861	5.8335	23.7575	0	23.7575	11.6941	1181.1089	1.8958	17.0971	5.1156	11.9815	57.25	30.4339	0.7767	11.4035	7.9093	0.7078	2.4914	1.0737	6.1958	0.8829	6.7926	4.8933	19.3215	1.4704	0.8807	0.538	3.3895	0	1.5605	0.6915	3.4501	0.1622	0.1184	0.2277	1.4704	0	3.5053	4.6813	23.7575	0	11.4317	1.8804	17.8151	5.1156	2.3074	0.8975	5.4712	0.9384	3.159	1.8182	10.536	1.4704	0.7908	0.6037	3.3895	0	1.4397	0.7144	3.4501	0.3108	0.1598	0.2414	0.9774	0	1.6405	2.1542	15.1323	0	11.2263	1.8496	17.8151	5.9726	0.4198
NSB__NUH B2_1_HP_IM3_0_Core[1,2,13,1]_component_data.tif - resolution #1	3433f86d-2b26-4006-b309-0da91648c821	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	375.8	3.215	22.25	22.4563	0.5544	6.9923	5.0447	0.7775	5.5135	501.7275	1.0171	7.8116	3.641	4.1706	11.6237	1057.7609	3.0199	18.3391	6.576	11.7631	0.9592	87.2905	0.3743	1.5753	0.0027	1.5725	0.2295	20.887	0.6164	2.5762	0	2.5762	0	0	0	0	0	0	35.8218	3259.7795	8.044	51.4475	15.1257	36.3219	14.3009	1301.3815	3.5583	21.0674	5.6332	15.4342	57.75	28.335	0.9039	10.1024	7	0.6673	4.5983	1.4641	7.8116	1.5561	6.7547	4.6386	18.3391	1.0343	0.7168	0.4107	1.8235	0	0.3514	0.6807	3.6232	0	0.0659	0.2222	1.3611	0	24.6004	14.8253	51.931	0.0015	12.9179	3.8749	25.4319	2.4742	4.0118	1.407	7.2736	1.5561	3.6345	2.1159	8.7943	1.0343	0.5615	0.3549	1.8235	0	0.4295	0.71	3.6232	0	0.1081	0.2768	1.3611	0	17.4093	13.6744	51.931	0.0015	12.0316	3.8208	25.4319	2.4742	0.3699
NSB__NUH B2_1_HP_IM3_0_Core[1,2,13,1]_component_data.tif - resolution #1	753ba9e7-94db-4c1b-9f79-9843b1672f14	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	392.49	2.294	14.5	14.324	0.8881	5.3444	3.5	0.7009	3.4877	219.7274	0.6845	4.9352	2.0363	2.8989	7.7905	490.7997	1.4844	11.4869	4.185	7.3019	0.4603	28.9997	0.3561	1.5202	0	1.5202	2.8678	180.6735	0.8365	4.553	1.182	3.371	0.0028	0.176	0.0144	0.1003	0	0.1003	5.8464	368.326	2.1305	9.1041	0.4442	8.6599	15.667	987.0239	3.2051	26.9368	10.8036	16.1332	33.75	22.208	0.8599	8.4952	5	0.7555	3.3066	0.9319	5.4834	1.2342	5.6376	2.41	11.4869	1.1512	0.413	0.3197	1.5202	0	2.775	0.9648	4.553	0.5297	0.0405	0.1606	1.0533	0	4.7411	3.0999	15.3799	0	15.5092	3.2794	26.9368	9.7928	3.1544	1.0789	5.4834	1.2342	3.8292	1.283	6.4333	1.1512	0.3732	0.2818	0.9393	0	2.697	1.0599	4.4605	0.5297	0.0722	0.213	1.0533	0	3.8125	3.4746	15.3799	0	15.3767	3.3563	25.5046	9.7928	0.4322
NSB__NUH B2_1_HP_IM3_0_Core[1,2,13,1]_component_data.tif - resolution #1	be2a0aa7-b358-4540-9087-ac3bb436616a	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	438.92	2.099	18.75	18.1762	0.7132	7.2958	3.1644	0.8957	3.3406	270.587	1.237	7.9586	1.8771	6.0814	13.5491	1097.4746	2.4765	18.468	8.4864	9.9816	0.2626	21.2732	0.2754	1.2624	0	1.2624	2.2935	185.7705	0.6711	3.6469	0.3902	3.2567	0	0	0	0	0	0	13.314	1078.4332	3.1737	21.5837	8.4999	13.0838	17.5135	1418.5924	2.102	24.5174	12.747	11.7704	41.75	26.7745	0.7319	10.4518	4.5	0.8979	3.9922	1.4722	9.7167	1.5812	10.0278	4.1752	18.468	1.7305	0.3531	0.3593	1.7174	0	2.4983	0.9141	5.4473	0.0044	0.0027	0.0259	0.3265	0	13.3123	3.9511	23.5742	2.216	18.1555	3.2006	29.6907	11.8658	4.5919	1.421	9.7167	1.5812	6.7866	2.4191	11.0567	1.7305	0.4364	0.4061	1.7174	0	2.6869	1.0603	5.4473	0.0044	0.0052	0.0358	0.3265	0	13.3107	4.5699	23.5742	2.216	18.7464	3.8706	29.6907	11.8658	0.4716
NSB__NUH B2_1_HP_IM3_0_Core[1,2,13,1]_component_data.tif - resolution #1	a2c0e646-f34b-41e4-a9e9-f51a56dbafde	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	471.95	3.579	16.5	20.5788	0.4896	9.1241	2.357	0.9625	2.6561	188.5833	0.4224	3.7708	1.725	2.0458	5.1457	365.3447	1.4966	8.4908	2.1561	6.3347	0.411	29.181	0.1849	0.904	0.0578	0.8462	2.1884	155.3741	0.82	4.1181	0.7543	3.3637	0.0034	0.244	0.0212	0.158	0	0.158	9.4395	670.2058	3.2481	15.9471	3.5669	12.3802	12.9492	919.3951	2.6048	18.099	7.2251	10.8739	52	30.1916	0.7169	12.3346	6.0135	0.8832	2.4941	0.6544	5.5644	0.9668	2.7996	2.1085	8.4908	0.1975	0.2799	0.2215	0.904	0	2.3804	0.9476	4.9626	0.4031	0.0496	0.1461	0.8209	0	7.121	4.4128	21.4413	0	14.848	3.6168	24.3717	7.2251	2.412	0.7327	5.5644	0.9668	1.6098	1.1626	5.6802	0.1975	0.2134	0.209	0.8451	0	2.4778	0.9948	4.9626	0.4031	0.073	0.1743	0.8209	0	5.9452	4.4686	21.4413	0	15.8109	3.6838	24.3717	9.3512	0.3154
