Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: BCL6 (Cy5) mean	Nucleus: BCL6 (Cy5) sum	Nucleus: BCL6 (Cy5) std dev	Nucleus: BCL6 (Cy5) max	Nucleus: BCL6 (Cy5) min	Nucleus: BCL6 (Cy5) range	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: BCL2 (Opal 520) mean	Nucleus: BCL2 (Opal 520) sum	Nucleus: BCL2 (Opal 520) std dev	Nucleus: BCL2 (Opal 520) max	Nucleus: BCL2 (Opal 520) min	Nucleus: BCL2 (Opal 520) range	Nucleus: CD20 (Opal 540) mean	Nucleus: CD20 (Opal 540) sum	Nucleus: CD20 (Opal 540) std dev	Nucleus: CD20 (Opal 540) max	Nucleus: CD20 (Opal 540) min	Nucleus: CD20 (Opal 540) range	Nucleus: MYC (Opal 570) mean	Nucleus: MYC (Opal 570) sum	Nucleus: MYC (Opal 570) std dev	Nucleus: MYC (Opal 570) max	Nucleus: MYC (Opal 570) min	Nucleus: MYC (Opal 570) range	Nucleus: Ki67 (Opal 620) mean	Nucleus: Ki67 (Opal 620) sum	Nucleus: Ki67 (Opal 620) std dev	Nucleus: Ki67 (Opal 620) max	Nucleus: Ki67 (Opal 620) min	Nucleus: Ki67 (Opal 620) range	Nucleus: Autofluorescence mean	Nucleus: Autofluorescence sum	Nucleus: Autofluorescence std dev	Nucleus: Autofluorescence max	Nucleus: Autofluorescence min	Nucleus: Autofluorescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: BCL6 (Cy5) mean	Cell: BCL6 (Cy5) std dev	Cell: BCL6 (Cy5) max	Cell: BCL6 (Cy5) min	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: BCL2 (Opal 520) mean	Cell: BCL2 (Opal 520) std dev	Cell: BCL2 (Opal 520) max	Cell: BCL2 (Opal 520) min	Cell: CD20 (Opal 540) mean	Cell: CD20 (Opal 540) std dev	Cell: CD20 (Opal 540) max	Cell: CD20 (Opal 540) min	Cell: MYC (Opal 570) mean	Cell: MYC (Opal 570) std dev	Cell: MYC (Opal 570) max	Cell: MYC (Opal 570) min	Cell: Ki67 (Opal 620) mean	Cell: Ki67 (Opal 620) std dev	Cell: Ki67 (Opal 620) max	Cell: Ki67 (Opal 620) min	Cell: Autofluorescence mean	Cell: Autofluorescence std dev	Cell: Autofluorescence max	Cell: Autofluorescence min	Cytoplasm: BCL6 (Cy5) mean	Cytoplasm: BCL6 (Cy5) std dev	Cytoplasm: BCL6 (Cy5) max	Cytoplasm: BCL6 (Cy5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: BCL2 (Opal 520) mean	Cytoplasm: BCL2 (Opal 520) std dev	Cytoplasm: BCL2 (Opal 520) max	Cytoplasm: BCL2 (Opal 520) min	Cytoplasm: CD20 (Opal 540) mean	Cytoplasm: CD20 (Opal 540) std dev	Cytoplasm: CD20 (Opal 540) max	Cytoplasm: CD20 (Opal 540) min	Cytoplasm: MYC (Opal 570) mean	Cytoplasm: MYC (Opal 570) std dev	Cytoplasm: MYC (Opal 570) max	Cytoplasm: MYC (Opal 570) min	Cytoplasm: Ki67 (Opal 620) mean	Cytoplasm: Ki67 (Opal 620) std dev	Cytoplasm: Ki67 (Opal 620) max	Cytoplasm: Ki67 (Opal 620) min	Cytoplasm: Autofluorescence mean	Cytoplasm: Autofluorescence std dev	Cytoplasm: Autofluorescence max	Cytoplasm: Autofluorescence min	Nucleus/Cell area ratio
NSB__NUH B2_1_HP_IM3_0_Core[1,3,1,1]_[29500,9857.5]_component_data.tif - resolution #1	80769149-5f1f-429b-bea1-aebc834a2a6b	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	5.172	3.692	33	26.7905	0.5778	8.3278	6.5145	0.5742	2.4822	345.0285	0.7319	4.3526	0.7598	3.5929	20.8874	2903.3467	3.8843	29.0688	11.3381	17.7307	0.2922	40.6201	0.4304	1.8128	0	1.8128	4.2105	585.266	0.9391	6.7973	1.8676	4.9297	0.2038	28.335	0.5544	3.6355	0	3.6355	0.5968	82.953	1.4705	7.2164	0	7.2164	17.9402	2493.6838	3.5257	25.4737	8.2677	17.206	67.5	31.5664	0.8513	11.0353	7.908	0.4966	2.3256	0.7285	4.6767	0.009	14.9159	7.4947	29.0688	1.6828	0.2433	0.4262	2.0963	0	4.3729	1.0825	7.5719	1.8676	0.2654	0.6356	3.6355	0	0.4598	1.2823	7.2164	0	17.6891	3.7235	30.0528	5.4208	2.1606	0.6901	4.6767	0.009	8.6278	4.7116	19.8486	1.6828	0.1917	0.4173	2.0963	0	4.5439	1.1953	7.5719	2.1679	0.3301	0.7076	3.3153	0	0.3156	1.0345	5.6157	0	17.4246	3.9171	30.0528	5.4208	0.5046
NSB__NUH B2_1_HP_IM3_0_Core[1,3,1,1]_[29500,9857.5]_component_data.tif - resolution #1	faafb962-bdd0-45a5-a60d-c6adc0277cf1	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	84.36	2.109	15	16.0456	0.7321	6.6374	3.3589	0.8527	4.4296	292.3532	0.9345	7.0034	2.9966	4.0068	10.0407	662.684	1.3652	12.5254	7.169	5.3565	0.8968	59.187	0.5182	3.3204	0.0008	3.3196	3.0387	200.5534	1.4168	8.7177	0.6599	8.0578	0.0034	0.2217	0.0215	0.1663	0	0.1663	5.0398	332.6241	2.284	12.4196	0.3025	12.1171	17.027	1123.7797	2.5196	27.6855	12.7764	14.909	39	25.1453	0.7751	10.0925	5	0.868	4.7133	1.1637	7.6106	2.4296	6.6306	3.3964	12.5254	1.2815	0.8645	0.6532	3.4439	0.0003	3.1807	1.3381	8.7177	0.5449	0.0057	0.0499	0.5998	0	4.3682	5.5339	31.7548	0	16.916	3.0955	27.6855	10.8011	4.9168	1.2698	7.6106	2.4296	4.1843	2.0216	8.2054	1.2815	0.8414	0.7369	3.4439	0.0003	3.2826	1.2768	8.1455	0.5449	0.0074	0.0629	0.5998	0	3.8865	6.9676	31.7548	0	16.8365	3.4615	26.8539	10.8011	0.3876
NSB__NUH B2_1_HP_IM3_0_Core[1,3,1,1]_[29500,9857.5]_component_data.tif - resolution #1	28896f77-548d-4a78-9f92-6eba0c85da91	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	99.89	3.327	26.5	21.4285	0.7252	7.3166	5.4723	0.6371	3.315	354.7091	0.6248	5.035	1.9844	3.0506	23.41	2504.873	5.5938	33.564	9.2617	24.3023	0.783	83.7805	0.4654	2.1252	0.0002	2.125	2.165	231.6524	1.0289	5.7629	0.018	5.7449	0.1194	12.7727	0.4807	3.3236	0	3.3236	7.3453	785.9471	3.2807	18.172	0	18.172	16.1332	1726.2572	2.1898	21.6406	8.442	13.1985	56	28.133	0.8891	10.1726	7.5	0.5994	2.8641	0.841	5.035	1.2446	14.2893	10.0174	33.564	1.5355	0.6255	0.4859	2.1252	0	2.2988	0.974	5.7629	0.001	0.1447	0.4	3.3236	0	4.3533	4.0262	18.172	0	15.6462	2.4153	21.6406	8.442	2.4653	0.8072	4.9959	1.2446	6.224	4.7347	26.1165	1.5355	0.4862	0.4622	2.1215	0	2.4171	0.9108	4.2579	0.001	0.1671	0.3122	1.6769	0	1.7075	2.4733	11.6212	0	15.2156	2.5301	20.9213	9.6942	0.4542
NSB__NUH B2_1_HP_IM3_0_Core[1,3,1,1]_[29500,9857.5]_component_data.tif - resolution #1	b569427b-23f7-4faf-9cfc-18575a38d378	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	108.19	2.369	15	16.7145	0.6747	6.7356	3.6426	0.8442	3.2968	210.9937	0.6297	5.1371	2.2478	2.8893	25.3706	1623.7206	5.3299	32.6516	12.9298	19.7219	1.0358	66.2902	0.4379	2.0472	0.165	1.8822	1.7228	110.262	1.047	4.1754	0.0014	4.174	0.0116	0.7448	0.0924	0.7394	0	0.7394	8.7457	559.7242	4.644	17.9104	0	17.9104	17.5943	1126.0352	1.8924	21.8614	14.2982	7.5632	33.75	22.4063	0.8448	8.1726	5.5	0.6503	3.1169	1.0649	5.8838	0.5963	15.9148	10.1368	32.6516	2.1482	0.8418	0.5691	2.2578	0	2.2177	1.5202	6.72	0.0014	0.1042	0.3284	2.1219	0	4.9691	5.1831	17.9104	0	17.0799	2.5137	22.4982	10.7254	2.9571	1.3225	5.8838	0.5963	7.5096	4.2346	21.0754	2.1482	0.6693	0.6178	2.2578	0	2.6575	1.7333	6.72	0.0018	0.1865	0.4277	2.1219	0	1.6121	2.7676	10.0701	0	16.6227	2.8959	22.4982	10.7254	0.4478
NSB__NUH B2_1_HP_IM3_0_Core[1,3,1,1]_[29500,9857.5]_component_data.tif - resolution #1	a7370ce3-2c49-462d-9acf-a1bb4f612fb1	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	126.72	2.435	13.25	15.7432	0.6718	5.9853	3.7126	0.8002	4.9889	289.3578	3.0694	15.7747	2.8221	12.9526	8.969	520.2037	1.7109	12.114	4.6493	7.4648	2.5916	150.3146	1.1229	5.0036	0.5055	4.498	5.1653	299.5893	1.4782	9.2587	1.7139	7.5448	0	0	0	0	0	0	7.2195	418.7299	2.7643	13.0839	0.017	13.0669	18.2145	1056.4385	4.1576	31.2573	11.8015	19.4558	40.25	24.0742	0.8727	9.248	5.5	0.7956	4.6105	2.8202	16.814	2.1844	6.7844	3.6031	14.4638	0.6446	1.4969	1.2396	5.0036	0	5.4929	2.5315	13.2209	1.4915	0.2393	0.8927	5.9403	0	4.9103	3.9594	14.4248	0	20.013	5.4727	36.8276	11.6816	4.4034	2.6665	16.814	2.1844	5.589	3.8059	14.4638	0.6446	0.8979	0.8226	3.198	0	5.6721	2.9446	13.2209	1.4915	0.3702	1.0901	5.9403	0	3.6468	3.9537	14.4248	0	20.997	5.8607	36.8276	11.6816	0.3551
NSB__NUH B2_1_HP_IM3_0_Core[1,3,1,1]_[29500,9857.5]_component_data.tif - resolution #1	58f86cdb-b1d2-4c97-8e44-1562858d93f8	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	149.05	2.07	16.75	16.2396	0.7981	6.521	3.3333	0.8557	8.7279	610.9531	2.0968	13.0335	4.3809	8.6526	10.9909	769.3608	2.1257	17.1326	6.9239	10.2088	2.1848	152.9342	0.8372	4.0866	0.3732	3.7134	2.165	151.5531	1.3402	5.5332	0.0022	5.531	0	0	0	0	0	0	21.2429	1487.0059	4.402	32.0795	9.5805	22.499	16.7913	1175.3945	2.7744	23.1491	10.3338	12.8153	31.5	22.7358	0.7658	8.7247	5	0.7703	6.7349	2.7948	13.0335	0.9956	7.6882	4.2191	17.1326	1.1606	1.6624	1.1508	4.0866	0	3.1759	1.7895	7.1499	0.0022	0.159	0.4506	2.4085	0	13.8259	9.3535	32.0795	0	18.1873	3.179	26.5264	10.3338	4.3703	1.2355	6.9393	0.9956	3.7698	2.2642	8.8012	1.1606	1.0426	1.1699	4.0642	0	4.3753	1.4945	7.1499	1.3134	0.3476	0.6176	2.4085	0	5.026	4.9857	16.5888	0	19.8436	2.829	26.5264	14.2046	0.5206
NSB__NUH B2_1_HP_IM3_0_Core[1,3,1,1]_[29500,9857.5]_component_data.tif - resolution #1	adfebd20-ca1c-47a9-96c0-effe24b36ed5	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	200.79	2.227	21.75	19.6496	0.7079	7.2936	4.8389	0.6786	7.1011	624.9	2.588	13.3821	2.6799	10.7022	10.9912	967.2224	1.5474	14.1615	7.7166	6.4449	3.5428	311.7675	1.1838	7.8855	1.2149	6.6706	3.1406	276.3729	1.9827	6.7563	0	6.7563	0	0.0005	0.0001	0.0005	0	0.0005	21.5357	1895.1425	6.521	33.8133	5.4982	28.3151	13.4951	1187.5708	2.5223	20.9773	7.2132	13.7641	43.25	26.6361	0.766	10.528	5.3195	0.8593	5.616	2.5756	13.3821	1.9144	8.4472	3.19	14.1615	1.7383	3.3682	1.7911	8.4142	0	4.3084	2.0675	7.9911	0	0.0124	0.0984	1.0492	0	14.2421	9.5053	33.8133	0	16.1514	4.2003	31.2913	7.2132	4.0962	1.4232	10.05	1.9144	5.8441	2.1691	8.8451	1.7383	3.1895	2.243	8.4142	0	5.5033	1.3488	7.9911	1.3207	0.0251	0.1392	1.0492	0	6.7789	5.3793	21.0443	0	18.8695	3.8231	31.2913	11.9445	0.4847
NSB__NUH B2_1_HP_IM3_0_Core[1,3,1,1]_[29500,9857.5]_component_data.tif - resolution #1	46757318-f2b2-4c96-ad22-c5a4808077d5	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	211.58	2.494	17	15.7035	0.8663	5.6657	4	0.5917	4.6256	328.4144	0.9637	6.926	2.7407	4.1854	15.532	1102.772	3.3588	21.0651	9.033	12.0321	3.6694	260.5249	0.7658	4.9848	1.5278	3.457	3.5876	254.7169	0.8704	5.6768	1.8066	3.8702	0	0	0	0	0	0	11.322	803.8639	3.3349	17.1412	2.5634	14.5778	15.5315	1102.735	1.3667	20.6322	11.9263	8.7059	39.75	24.0727	0.862	8.9132	5.5	0.7527	4.2393	1.1445	7.4071	2.2134	9.5424	6.0586	21.0651	1.3897	3.8853	1.2479	6.7864	0.7606	4.3232	1.2701	9.6301	1.8066	0.0005	0.0037	0.0344	0	6.6784	5.5851	20.909	0	16.9651	2.3596	23.5907	10.9438	3.9379	1.188	7.4071	2.2134	4.8692	2.5507	11.8224	1.3897	4.0538	1.5047	6.7864	0.7606	4.8972	1.2395	9.6301	2.3462	0.0009	0.005	0.0344	0	3.0554	4.107	20.909	0	18.0836	2.3709	23.5907	10.9438	0.42
NSB__NUH B2_1_HP_IM3_0_Core[1,3,1,1]_[29500,9857.5]_component_data.tif - resolution #1	922ad376-b209-428f-9c2d-a8b3a7c4336a	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	239.13	3.284	16.5	16.2313	0.787	5.5673	4.1041	0.7196	2.2395	156.7628	1.0575	6.1166	0.9347	5.1819	14.5739	1020.1737	2.7158	20.0448	7.5091	12.5356	0.1124	7.8685	0.2227	0.974	0	0.974	4.7864	335.0451	1.8813	9.2584	1.26	7.9984	1.6118	112.8271	1.6373	5.0895	0	5.0895	2.4164	169.1477	5.3905	23.9592	0	23.9592	17.3996	1217.9731	2.6498	23.8189	11.5968	12.2221	44.5	24.4716	0.9338	8.5692	7	0.3838	2.5747	1.5473	8.331	0.0629	8.7406	5.5877	20.0448	2.0554	0.1865	0.3743	1.7347	0	4.0989	2.0209	9.2584	0	1.4219	1.499	5.7779	0	2.7977	6.4681	28.8399	0	15.8104	3.3056	23.8189	8.5683	2.7861	1.7605	8.331	0.0629	5.062	3.3399	18.3104	2.0554	0.2333	0.4387	1.7347	0	3.6653	1.9931	8.607	0	1.3022	1.3993	5.7779	0	3.0382	7.0769	28.8399	0	14.8082	3.2947	23.0295	8.5683	0.3589
NSB__NUH B2_1_HP_IM3_0_Core[1,3,1,1]_[29500,9857.5]_component_data.tif - resolution #1	e132c38c-2d41-4f7d-8771-a166de5899fa	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	248.69	3.143	32.25	26.9094	0.5597	9.354	5.4398	0.8593	2.483	330.24	0.8131	4.1981	0.9264	3.2718	25.5465	3397.6892	4.3739	35.4317	15.8937	19.538	0.4814	64.0305	0.4383	1.5374	0	1.5374	2.6506	352.5258	1.0353	5.5963	0.3708	5.2255	0.1427	18.9753	0.4231	2.6389	0	2.6389	5.5858	742.908	5.4191	20.0166	0	20.0166	20.2736	2696.3845	2.3325	25.9527	11.8094	14.1433	68	32.4371	0.8121	11.6205	7	0.7824	2.5132	0.9326	4.983	0.6909	17.5553	9.6855	35.4317	2.2477	0.382	0.4497	1.8619	0	3.053	1.3709	6.8474	0.3708	0.5699	1.0772	4.5508	0	4.1008	5.2231	20.0166	0	18.7555	3.3948	25.9527	8.7121	2.5418	1.0356	4.983	0.6909	9.9637	6.8007	22.8838	2.2477	0.2876	0.4415	1.8619	0	3.4353	1.5355	6.8474	0.4423	0.9757	1.3267	4.5508	0	2.6902	4.624	17.4481	0	17.3134	3.6175	23.8624	8.7121	0.471
