Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: BCL6 (Cy5) mean	Nucleus: BCL6 (Cy5) sum	Nucleus: BCL6 (Cy5) std dev	Nucleus: BCL6 (Cy5) max	Nucleus: BCL6 (Cy5) min	Nucleus: BCL6 (Cy5) range	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: BCL2 (Opal 520) mean	Nucleus: BCL2 (Opal 520) sum	Nucleus: BCL2 (Opal 520) std dev	Nucleus: BCL2 (Opal 520) max	Nucleus: BCL2 (Opal 520) min	Nucleus: BCL2 (Opal 520) range	Nucleus: CD20 (Opal 540) mean	Nucleus: CD20 (Opal 540) sum	Nucleus: CD20 (Opal 540) std dev	Nucleus: CD20 (Opal 540) max	Nucleus: CD20 (Opal 540) min	Nucleus: CD20 (Opal 540) range	Nucleus: MYC (Opal 570) mean	Nucleus: MYC (Opal 570) sum	Nucleus: MYC (Opal 570) std dev	Nucleus: MYC (Opal 570) max	Nucleus: MYC (Opal 570) min	Nucleus: MYC (Opal 570) range	Nucleus: Ki67 (Opal 620) mean	Nucleus: Ki67 (Opal 620) sum	Nucleus: Ki67 (Opal 620) std dev	Nucleus: Ki67 (Opal 620) max	Nucleus: Ki67 (Opal 620) min	Nucleus: Ki67 (Opal 620) range	Nucleus: Autofluorescence mean	Nucleus: Autofluorescence sum	Nucleus: Autofluorescence std dev	Nucleus: Autofluorescence max	Nucleus: Autofluorescence min	Nucleus: Autofluorescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: BCL6 (Cy5) mean	Cell: BCL6 (Cy5) std dev	Cell: BCL6 (Cy5) max	Cell: BCL6 (Cy5) min	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: BCL2 (Opal 520) mean	Cell: BCL2 (Opal 520) std dev	Cell: BCL2 (Opal 520) max	Cell: BCL2 (Opal 520) min	Cell: CD20 (Opal 540) mean	Cell: CD20 (Opal 540) std dev	Cell: CD20 (Opal 540) max	Cell: CD20 (Opal 540) min	Cell: MYC (Opal 570) mean	Cell: MYC (Opal 570) std dev	Cell: MYC (Opal 570) max	Cell: MYC (Opal 570) min	Cell: Ki67 (Opal 620) mean	Cell: Ki67 (Opal 620) std dev	Cell: Ki67 (Opal 620) max	Cell: Ki67 (Opal 620) min	Cell: Autofluorescence mean	Cell: Autofluorescence std dev	Cell: Autofluorescence max	Cell: Autofluorescence min	Cytoplasm: BCL6 (Cy5) mean	Cytoplasm: BCL6 (Cy5) std dev	Cytoplasm: BCL6 (Cy5) max	Cytoplasm: BCL6 (Cy5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: BCL2 (Opal 520) mean	Cytoplasm: BCL2 (Opal 520) std dev	Cytoplasm: BCL2 (Opal 520) max	Cytoplasm: BCL2 (Opal 520) min	Cytoplasm: CD20 (Opal 540) mean	Cytoplasm: CD20 (Opal 540) std dev	Cytoplasm: CD20 (Opal 540) max	Cytoplasm: CD20 (Opal 540) min	Cytoplasm: MYC (Opal 570) mean	Cytoplasm: MYC (Opal 570) std dev	Cytoplasm: MYC (Opal 570) max	Cytoplasm: MYC (Opal 570) min	Cytoplasm: Ki67 (Opal 620) mean	Cytoplasm: Ki67 (Opal 620) std dev	Cytoplasm: Ki67 (Opal 620) max	Cytoplasm: Ki67 (Opal 620) min	Cytoplasm: Autofluorescence mean	Cytoplasm: Autofluorescence std dev	Cytoplasm: Autofluorescence max	Cytoplasm: Autofluorescence min	Nucleus/Cell area ratio
NSB__NUH A2_1_HP_IM3_0_Core[1,1,14,1]_[50156,5368]_component_data.tif - resolution #1	097031df-a8fe-4a59-82e0-ebc96feffba6	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	32.89	3.934	40.75	27.5247	0.6759	10.3893	6.1379	0.7823	2.1379	352.7561	0.4482	3.5872	0.7985	2.7887	7.6865	1268.2706	1.5031	11.5875	4.6483	6.9392	0.4719	77.8579	0.2506	1.1634	0.0232	1.1402	0.5375	88.6873	0.4497	1.6354	0	1.6354	0.4499	74.229	0.6132	2.1503	0	2.1503	1.6457	271.5353	1.118	5.6971	0	5.6971	14.4005	2376.0881	2.1237	20.8391	9.0319	11.8071	77.25	34.9927	0.7928	12.8969	9.5708	0.5902	2.1219	0.5153	3.9719	0.7985	5.8412	2.4949	11.5875	1.2268	0.4382	0.2438	1.1634	0.0005	0.4876	0.423	1.6354	0	0.4316	0.621	2.6288	0	1.4936	1.2682	5.6971	0	14.2566	2.1559	20.9097	9.0319	2.1039	0.5825	3.9719	1.0945	3.77	1.5981	6.954	1.2268	0.4004	0.231	0.9026	0.0005	0.4316	0.3846	1.4369	0	0.4112	0.6311	2.6288	0	1.3228	1.4022	5.387	0	14.0951	2.1874	20.9097	10.1907	0.5221
NSB__NUH A2_1_HP_IM3_0_Core[1,1,14,1]_[50156,5368]_component_data.tif - resolution #1	072396ac-6fb9-47bd-a7ff-cd9133278963	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	116.09	2.825	33	25.6027	0.6326	9.4269	5.4973	0.8653	3.3391	460.7922	0.6259	4.4892	1.4477	3.0415	8.1637	1126.5892	1.7619	12.7592	3.9519	8.8073	0.5911	81.5666	0.1935	1.1892	0.1547	1.0344	0.0987	13.6249	0.1924	1.0047	0	1.0047	0.0188	2.5876	0.0938	0.6996	0	0.6996	15.1852	2095.5559	3.5537	22.3855	6.5809	15.8047	14.8881	2054.5615	1.6064	18.448	10.3143	8.1337	67.5	33.7611	0.7442	13.2053	7.2701	0.8451	3.0562	0.8551	4.888	0.9934	6.2096	2.8439	12.7592	1.1365	0.5591	0.1983	1.1892	0.1105	0.1538	0.2338	1.1643	0	0.0327	0.1096	0.6996	0	10.9253	5.907	22.3855	0.0009	14.7992	1.6973	19.5152	10.3094	2.7692	0.9573	4.888	0.9934	4.2267	2.3111	9.1424	1.1365	0.5267	0.1985	1.0222	0.1105	0.2096	0.2583	1.1643	0	0.0468	0.1224	0.6474	0	6.6027	4.5135	16.9999	0.0009	14.7089	1.7862	19.5152	10.3094	0.4951
NSB__NUH A2_1_HP_IM3_0_Core[1,1,14,1]_[50156,5368]_component_data.tif - resolution #1	56ccd850-e0eb-4b32-a39f-ef014f113ce2	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	201.87	1.861	15	16.3291	0.7069	6.7102	3	0.8708	3.0255	184.5558	0.7539	4.5511	1.7151	2.836	8.3058	506.6516	1.3047	11.2263	5.7618	5.4646	0.6829	41.6562	0.1943	1.0674	0.2081	0.8593	0.2189	13.3511	0.3271	1.1702	0	1.1702	0.0177	1.0776	0.0787	0.4196	0	0.4196	13.3787	816.0981	3.6832	19.8539	6.8464	13.0076	14.3741	876.8187	2.963	20.6558	8.242	12.4138	30.75	23.2475	0.715	9.5525	4.5	0.8604	2.5351	0.8143	4.5511	1.1867	6.3691	2.3517	11.2263	1.4022	0.6093	0.2134	1.0674	0.0832	0.2796	0.3522	1.1702	0	0.1439	0.3565	2.0411	0	9.4987	4.9792	19.8539	1.2827	15.525	3.2143	23.7296	8.242	2.0818	0.5713	3.7293	1.1867	4.5791	1.5414	7.4573	1.4022	0.5413	0.2089	0.9935	0.0832	0.3357	0.3674	1.1493	0	0.2606	0.4603	2.0411	0	5.9126	2.8899	14.0004	1.2827	16.5887	3.0874	23.7296	11.2527	0.4771
NSB__NUH A2_1_HP_IM3_0_Core[1,1,14,1]_[50156,5368]_component_data.tif - resolution #1	c8a2a474-64eb-415b-80c9-db499348477d	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	238.78	2.515	26.25	20.525	0.783	8.079	4.5	0.7841	2.5919	279.9254	0.5491	4.0089	1.4613	2.5476	7.6123	822.1268	1.1193	10.426	5.1399	5.2861	0.4236	45.7494	0.1369	0.747	0.1338	0.6132	0.2532	27.3495	0.239	0.9748	0	0.9748	0.0586	6.3292	0.1451	0.7964	0	0.7964	5.0787	548.4957	1.711	9.5847	2.0639	7.5208	11.4775	1239.5684	1.9205	15.3845	7.4468	7.9377	52	29.5317	0.7493	11.5143	6	0.8228	2.6575	0.6831	4.7091	1.2081	5.8469	2.1899	10.426	1.6074	0.4365	0.1415	0.8288	0.1018	0.2018	0.2155	0.9748	0	0.1942	0.3647	1.8487	0	3.8404	2.0659	9.5847	0	12.7993	2.3017	18.3467	7.4468	2.7255	0.796	4.7091	1.2081	4.0137	1.3644	7.32	1.6074	0.45	0.1455	0.8288	0.1018	0.1485	0.1736	0.6215	0	0.335	0.4597	1.8487	0	2.5545	1.5572	5.6233	0	14.172	1.8129	18.3467	9.7398	0.5127
NSB__NUH A2_1_HP_IM3_0_Core[1,1,14,1]_[50156,5368]_component_data.tif - resolution #1	3a260379-3ba3-4aff-9bd8-952409f74ac7	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	261.33	2.849	19	16.4652	0.8807	5.5454	4.5121	0.5633	2.1855	174.8378	0.6456	3.3646	0.0026	3.3621	7.3274	586.1902	0.6899	9.2446	5.6305	3.6141	0.9493	75.9407	0.6095	3.2283	0.0381	3.1903	0.4643	37.147	0.4732	1.6163	0	1.6163	0	0	0	0	0	0	6.2272	498.1748	3.5137	11.7536	0	11.7536	14.6733	1173.866	4.2375	27.5382	8.9996	18.5387	40.25	23.6567	0.9038	8.1767	6.8143	0.5861	2.1028	0.6249	3.7797	0.0026	6.0701	1.5399	9.2446	2.4795	0.9266	0.5377	3.2283	0.0381	0.4628	0.4555	1.6163	0	0.0013	0.0138	0.1734	0	5.1198	3.39	11.7536	0	14.6942	3.4992	27.5382	8.9996	2.024	0.5977	3.7797	0.3499	4.8727	1.1089	7.1723	2.4795	0.9051	0.4618	2.3907	0.2518	0.4613	0.4409	1.5112	0	0.0025	0.0192	0.1734	0	4.0651	2.9171	9.6026	0	14.714	2.637	25.3846	10.3613	0.4597
NSB__NUH A2_1_HP_IM3_0_Core[1,1,14,1]_[50156,5368]_component_data.tif - resolution #1	d57117c4-14c4-4dd4-9f23-4c9404861151	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	366.75	3.354	23.75	20.4419	0.7142	8.1551	4.6505	0.8496	1.0011	100.1056	0.9051	3.0693	0	3.0693	9.1178	911.7845	1.7716	13.8629	5.3958	8.4671	1.7295	172.9474	1.4859	4.5796	0.1169	4.4627	0.0719	7.1902	0.1933	0.9088	0	0.9088	0.239	23.897	0.4701	1.8514	0	1.8514	1.8438	184.3813	1.9166	6.1028	0	6.1028	23.6504	2365.0386	6.6328	37.63	11.9456	25.6843	53.5	27.8713	0.8655	10.6459	7.5	0.7141	1.1531	1.0317	3.9199	0	6.7254	2.8021	13.8629	2.0354	1.6902	1.2748	4.5796	0.1169	0.1407	0.3246	2.0863	0	0.177	0.4468	3.2753	0	1.424	2.0008	9.7929	0	21.6224	6.041	37.63	11.0367	1.2799	1.1143	3.9199	0	4.7317	1.7381	8.8475	2.0354	1.6574	1.0732	4.0623	0.1511	0.1981	0.3944	2.0863	0	0.1253	0.4215	3.2753	0	1.0741	2.0098	9.7929	0	19.9324	4.9218	33.9789	11.0367	0.4443
NSB__NUH A2_1_HP_IM3_0_Core[1,1,14,1]_[50156,5368]_component_data.tif - resolution #1	b57be392-841a-4181-80a3-7850c56a86eb	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	376	3.246	24.5	21.943	0.6394	7.4709	5.0903	0.7358	2.5447	257.0143	0.6947	4.8018	1.2124	3.5895	5.8584	591.6982	0.9087	7.9434	3.8502	4.0932	0.3879	39.1803	0.172	0.93	0.0218	0.9082	0.1213	12.2527	0.1852	0.906	0	0.906	0.4391	44.3472	0.5016	2.101	0	2.101	4.1749	421.6656	1.4376	9.1747	1.4532	7.7214	12.9517	1308.1257	1.9591	17.5801	7.1476	10.4325	59.5	29.1868	0.8777	10.8806	7	0.6811	2.3575	0.7038	4.8018	1.1264	4.4682	1.5773	7.9434	1.6741	0.431	0.2107	1.2434	0.0218	0.1382	0.2049	0.9398	0	0.4643	0.6509	3.1542	0	2.7266	1.882	9.1747	0	13.3477	2.064	18.6409	7.1476	2.2234	0.6816	4.1386	1.1264	3.4724	1.1402	6.1896	1.6741	0.4619	0.2302	1.2434	0.0409	0.1503	0.2178	0.9398	0	0.4823	0.7409	3.1542	0	1.6892	1.4227	5.1131	0	13.6314	2.0971	18.6409	8.7926	0.3999
NSB__NUH A2_1_HP_IM3_0_Core[1,1,14,1]_[50156,5368]_component_data.tif - resolution #1	08a6302e-f905-41fc-9f84-3975d0102ade	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	390.78	2.417	12.5	14.4695	0.7503	5.6258	3.4172	0.7714	3.1871	175.2899	0.5583	4.4016	1.9713	2.4303	9.1017	500.5943	1.3209	13.062	7.1603	5.9017	0.8166	44.9144	0.1672	1.3248	0.4028	0.9221	0.0931	5.122	0.2515	1.0031	0	1.0031	0	0	0	0	0	0	16.4643	905.5345	3.8391	25.7797	9.8267	15.9529	10.1457	558.0125	1.1775	12.7012	6.5884	6.1128	33	22.8928	0.7913	8.6883	5.5	0.7149	2.6316	0.6909	4.4016	0.276	7.2602	2.3437	13.062	2.2624	0.8974	0.3025	2.3911	0.0879	0.1515	0.3087	1.2798	0	0	0	0	0	10.8182	6.2429	25.7797	0	12.2807	3.1437	20.1145	6.5884	2.2497	0.4839	3.293	0.276	5.9942	2.0349	10.6657	2.2624	0.953	0.3584	2.3911	0.0879	0.1917	0.3383	1.2798	0	0	0	0	0	6.9365	4.3106	14.3117	0	13.7486	3.2342	20.1145	8.3382	0.3737
NSB__NUH A2_1_HP_IM3_0_Core[1,1,14,1]_[50156,5368]_component_data.tif - resolution #1	afb3e393-93d5-4493-b8bc-cd728314f930	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	444.74	2.372	24.5	22.5985	0.6029	9.1474	4	0.9159	2.2223	220.0068	0.5414	3.4401	1.0474	2.3927	7.2291	715.6846	1.3079	10.2494	4.966	5.2834	0.4477	44.3264	0.1646	0.8352	0.011	0.8242	0.458	45.34	0.2969	1.1351	0	1.1351	0.066	6.5368	0.1441	0.6145	0	0.6145	4.35	430.6459	1.6515	8.1086	0.6232	7.4854	10.7262	1061.8949	1.8687	15.3643	7.5747	7.7896	52.75	30.6524	0.7055	12.3358	5.5	0.9	2.1831	0.6386	4.0869	1.0366	5.4737	2.1017	10.2494	1.3653	0.4795	0.1666	1.0473	0.011	0.3968	0.2991	1.1351	0	0.1092	0.2044	0.9877	0	3.0149	1.7973	8.1086	0.0034	11.8698	1.858	15.4916	7.5747	2.1488	0.7137	4.0869	1.0366	3.9357	1.3095	6.7275	1.3653	0.5073	0.1641	1.0473	0.1201	0.3432	0.2919	1.0917	0	0.1471	0.2396	0.9877	0	1.8453	0.8622	4.5771	0.0034	12.8718	1.1309	15.4916	9.5214	0.4561
NSB__NUH A2_1_HP_IM3_0_Core[1,1,14,1]_[50156,5368]_component_data.tif - resolution #1	6c2b90a2-784c-45a2-a6f4-e6e3f6a47366	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	528.33	1.813	12.25	14.7922	0.7035	6.0383	2.7888	0.9044	2.4328	131.3708	0.6249	3.9955	1.3814	2.6141	8.85	477.8975	1.553	12.0187	6.2947	5.7241	0.3094	16.7081	0.2058	0.7855	0.0299	0.7556	0.097	5.2404	0.1838	0.763	0	0.763	0.5388	29.0959	0.4462	1.7343	0	1.7343	10.3608	559.4828	2.0934	14.1626	3.8918	10.2708	16.3936	885.2529	1.8366	21.1766	12.8951	8.2815	26.5	21.0132	0.7542	8.3559	4.5	0.8154	2.1769	0.5974	3.9955	0.957	6.7501	2.5827	12.0187	1.8852	0.3225	0.1957	0.7855	0.0047	0.0644	0.1539	0.763	0	0.5713	0.4899	2.1434	0	9.6527	3.2215	14.1626	0.9807	16.9953	1.9631	21.1766	12.6932	1.9302	0.4523	2.6846	0.957	4.7252	1.5461	8.3837	1.8852	0.3351	0.1865	0.733	0.0047	0.033	0.111	0.5958	0	0.6027	0.5309	2.1434	0	8.97	3.9214	13.9421	0.9807	17.5755	1.9205	20.9663	12.6932	0.4724
