Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: BCL6 (Cy5) mean	Nucleus: BCL6 (Cy5) sum	Nucleus: BCL6 (Cy5) std dev	Nucleus: BCL6 (Cy5) max	Nucleus: BCL6 (Cy5) min	Nucleus: BCL6 (Cy5) range	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: BCL2 (Opal 520) mean	Nucleus: BCL2 (Opal 520) sum	Nucleus: BCL2 (Opal 520) std dev	Nucleus: BCL2 (Opal 520) max	Nucleus: BCL2 (Opal 520) min	Nucleus: BCL2 (Opal 520) range	Nucleus: CD20 (Opal 540) mean	Nucleus: CD20 (Opal 540) sum	Nucleus: CD20 (Opal 540) std dev	Nucleus: CD20 (Opal 540) max	Nucleus: CD20 (Opal 540) min	Nucleus: CD20 (Opal 540) range	Nucleus: MYC (Opal 570) mean	Nucleus: MYC (Opal 570) sum	Nucleus: MYC (Opal 570) std dev	Nucleus: MYC (Opal 570) max	Nucleus: MYC (Opal 570) min	Nucleus: MYC (Opal 570) range	Nucleus: Ki67 (Opal 620) mean	Nucleus: Ki67 (Opal 620) sum	Nucleus: Ki67 (Opal 620) std dev	Nucleus: Ki67 (Opal 620) max	Nucleus: Ki67 (Opal 620) min	Nucleus: Ki67 (Opal 620) range	Nucleus: Autofluorescence mean	Nucleus: Autofluorescence sum	Nucleus: Autofluorescence std dev	Nucleus: Autofluorescence max	Nucleus: Autofluorescence min	Nucleus: Autofluorescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: BCL6 (Cy5) mean	Cell: BCL6 (Cy5) std dev	Cell: BCL6 (Cy5) max	Cell: BCL6 (Cy5) min	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: BCL2 (Opal 520) mean	Cell: BCL2 (Opal 520) std dev	Cell: BCL2 (Opal 520) max	Cell: BCL2 (Opal 520) min	Cell: CD20 (Opal 540) mean	Cell: CD20 (Opal 540) std dev	Cell: CD20 (Opal 540) max	Cell: CD20 (Opal 540) min	Cell: MYC (Opal 570) mean	Cell: MYC (Opal 570) std dev	Cell: MYC (Opal 570) max	Cell: MYC (Opal 570) min	Cell: Ki67 (Opal 620) mean	Cell: Ki67 (Opal 620) std dev	Cell: Ki67 (Opal 620) max	Cell: Ki67 (Opal 620) min	Cell: Autofluorescence mean	Cell: Autofluorescence std dev	Cell: Autofluorescence max	Cell: Autofluorescence min	Cytoplasm: BCL6 (Cy5) mean	Cytoplasm: BCL6 (Cy5) std dev	Cytoplasm: BCL6 (Cy5) max	Cytoplasm: BCL6 (Cy5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: BCL2 (Opal 520) mean	Cytoplasm: BCL2 (Opal 520) std dev	Cytoplasm: BCL2 (Opal 520) max	Cytoplasm: BCL2 (Opal 520) min	Cytoplasm: CD20 (Opal 540) mean	Cytoplasm: CD20 (Opal 540) std dev	Cytoplasm: CD20 (Opal 540) max	Cytoplasm: CD20 (Opal 540) min	Cytoplasm: MYC (Opal 570) mean	Cytoplasm: MYC (Opal 570) std dev	Cytoplasm: MYC (Opal 570) max	Cytoplasm: MYC (Opal 570) min	Cytoplasm: Ki67 (Opal 620) mean	Cytoplasm: Ki67 (Opal 620) std dev	Cytoplasm: Ki67 (Opal 620) max	Cytoplasm: Ki67 (Opal 620) min	Cytoplasm: Autofluorescence mean	Cytoplasm: Autofluorescence std dev	Cytoplasm: Autofluorescence max	Cytoplasm: Autofluorescence min	Nucleus/Cell area ratio
NSB__NUH A2_1_HP_IM3_0_Core[1,3,5,1]_component_data.tif - resolution #1	49997333-6c82-48bd-82ff-8020338e42d4	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	197.89	8.005	104.5	46.1807	0.6157	17.3894	9.1931	0.8767	7.876	3331.5679	2.1999	13.0994	1.2199	11.8795	6.4703	2736.9282	2.0665	12.0374	2.0908	9.9466	3.6666	1550.9551	2.204	12.3306	0.0055	12.3251	4.1187	1742.1904	2.9948	13.5929	0	13.5929	0.1018	43.0666	0.3004	1.8987	0	1.8987	5.1926	2196.4773	5.312	21.4727	0	21.4727	22.2326	9404.4053	4.0442	34.9946	12.4553	22.5393	185	54.414	0.7852	20.3388	12.8062	0.7975	6.0149	3.0408	13.0994	0.3714	4.3736	3.015	12.0374	0	2.9459	2.4075	12.3306	0	4.6095	3.6354	16.4511	0	0.1481	0.3929	3.4764	0	3.2362	4.6683	21.4727	0	19.1699	6.3075	34.9946	2.7875	3.5546	2.1073	11.3158	0.3714	1.6021	1.3998	6.5359	0	1.9932	2.3358	10.4686	0	5.2583	4.2584	16.4511	0.4629	0.2093	0.4828	3.4764	0	0.65	1.2563	9.636	0	15.1214	6.4826	31.9342	2.7875	0.5689
NSB__NUH A2_1_HP_IM3_0_Core[1,3,5,1]_component_data.tif - resolution #1	a5cd557a-4699-4283-9c71-e6ad1047d9c1	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	219.68	3.169	28	19.3585	0.9389	7.1392	5.1783	0.6654	15.0584	1701.5979	5.3243	24.6199	3.6723	20.9476	6.0144	679.6319	1.2144	9.528	3.2382	6.2898	8.2519	932.4677	2.2912	12.6112	3.8336	8.7776	7.806	882.0763	2.1882	12.4205	2.9437	9.4768	0	0	0	0	0	0	0	0	0	0	0	0	14.1746	1601.7294	4.0201	23.2246	6.3189	16.9057	60.5	28.835	0.9144	10.3434	7	0.7235	9.527	6.699	24.6199	0.3785	3.6497	2.5668	9.528	0	6.5718	2.9764	12.6112	1.2215	6.9294	2.5793	12.4205	0	0.2044	1.0454	9.3463	0	0.0003	0.0052	0.0817	0	13.6303	6.0785	45.0425	4.6275	4.7189	3.0783	17.147	0.3785	1.5942	1.3868	5.4916	0	5.1114	2.7276	11.8014	1.2215	6.1675	2.658	11.3728	0	0.3821	1.4078	9.3463	0	0.0006	0.0072	0.0817	0	13.1571	7.4026	45.0425	4.6275	0.46
NSB__NUH A2_1_HP_IM3_0_Core[1,3,5,1]_component_data.tif - resolution #1	830c0010-4f22-443d-88ef-bd5b4f3628a1	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	252.63	1.48	11.75	15.5112	0.6137	6.7489	2.4813	0.9227	10.8847	533.3527	3.3793	15.5655	3.0066	12.5589	4.6182	226.2938	1.4162	8.5032	2.5634	5.9398	2.1844	107.0369	0.8398	4.0373	0.8449	3.1924	7.024	344.1745	2.0262	10.5091	4.1465	6.3626	0	0	0	0	0	0	0.5327	26.1001	1.6972	7.79	0	7.79	17.1969	842.65	3.2548	25.569	11.3048	14.2642	24	20.8733	0.6922	8.7968	3.5	0.9117	8.315	4.472	15.5655	1.7755	3.3541	2.0005	8.5032	0	1.5285	1.1021	4.0373	0	7.2948	1.7125	10.8832	4.1465	0	0	0	0	0.3251	1.2604	7.79	0	16.5854	2.7086	25.569	11.3048	5.6917	3.9081	15.0533	1.7755	2.0637	1.6612	6.1328	0	0.859	0.9243	3.4531	0	7.5713	1.2817	10.8832	5.1339	0	0	0	0	0.1133	0.4606	2.3161	0	15.9612	1.838	20.349	12.5353	0.4723
NSB__NUH A2_1_HP_IM3_0_Core[1,3,5,1]_component_data.tif - resolution #1	4519fa20-58b9-4819-a0a3-0ab2268e0fff	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	311.69	3.169	26	20.707	0.762	8.531	3.9717	0.8922	2.9379	308.4836	1.1945	6.7629	0.6507	6.1122	11.1334	1169.0027	5.6418	23.1831	2.4947	20.6883	2.5018	262.6932	1.324	5.8818	0.3203	5.5615	2.2265	233.7827	0.8578	4.7124	0.1811	4.5312	0.0341	3.5804	0.1563	0.95	0	0.95	2.3269	244.3251	1.8678	6.8419	0	6.8419	10.849	1139.142	4.0235	24.7299	1.1434	23.5865	59.75	29.6706	0.8529	11.4193	7.3082	0.7881	2.4194	1.4698	7.6901	0.5132	5.7849	6.0996	23.1831	0.0069	1.8991	1.4124	5.8818	0.1523	1.7463	0.9982	4.7124	0.1086	0.0539	0.1623	0.95	0	1.3114	1.6111	6.8419	0	8.9897	4.7651	24.7323	1.1434	2.0191	1.5397	7.6901	0.5132	1.6556	1.482	8.6413	0.0069	1.4338	1.3021	5.7633	0.1523	1.3756	0.9417	3.9816	0.1086	0.0691	0.1657	0.7973	0	0.5274	0.711	2.9713	0	7.5542	4.8095	24.7323	1.6219	0.4286
NSB__NUH A2_1_HP_IM3_0_Core[1,3,5,1]_component_data.tif - resolution #1	f9651853-54db-4121-8da2-88439f4ccd37	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	606.5	4.458	44.25	24.9446	0.8937	8.8485	6.1027	0.656	18.946	3410.28	5.5309	30.8173	7.1201	23.6972	6.7778	1219.9974	1.9125	12.2215	2.5835	9.638	5.4443	979.9766	2.5197	12.4517	1.3308	11.1209	3.492	628.5681	2.2127	10.7647	0	10.7647	0	0	0	0	0	0	2.4756	445.6005	4.8208	24.7117	0	24.7117	15.5492	2798.8625	3.5322	24.3734	6.7739	17.5996	81.5	33.8871	0.8919	11.9859	9.4472	0.3775	12.6413	8.3081	30.8173	0.6981	4.6253	3.0353	12.2215	0	5.0235	2.5812	12.4517	0.5512	3.7742	2.1956	10.7647	0	0.0029	0.0251	0.3036	0	1.3853	3.7851	24.7117	0	12.6724	4.8358	24.3734	2.0889	4.9214	2.758	13.0898	0.6981	1.9896	1.8387	8.2825	0	4.5081	2.5705	9.1616	0.5512	4.1197	2.1314	9.0894	0.487	0.0064	0.0372	0.3036	0	0.0503	0.4869	5.8287	0	9.1496	3.7712	21.597	2.0889	0.5414
NSB__NUH A2_1_HP_IM3_0_Core[1,3,5,1]_component_data.tif - resolution #1	666b5c7a-cd52-4061-9242-46bb72278ea5	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	629.08	5.943	95.75	42.906	0.6536	16.8775	8.3438	0.8925	9.1936	3539.5327	4.3924	21.9444	3.2694	18.675	4.8339	1861.0659	1.539	9.2901	1.9907	7.2994	4.7091	1812.9878	3.4239	14.788	0.0481	14.7399	6.5264	2512.6692	4.2925	18.1001	0.0003	18.0998	0.3271	125.9369	0.7068	4.5053	0	4.5053	0.0031	1.1904	0.0402	0.747	0	0.747	15.211	5856.2227	3.7483	27.303	6.7501	20.5529	167.75	51.0687	0.8083	20.2746	11.1151	0.8342	6.968	4.4054	21.9444	0.6828	3.259	2.2539	9.2901	0	3.7629	3.144	14.788	0	6.0047	3.9586	18.1001	0.0003	0.2684	0.6189	4.5053	0	0.0236	0.1617	1.9942	0	14.1581	4.5127	27.303	2.2882	3.9823	2.0039	10.9883	0.6828	1.1463	0.9595	4.3559	0	2.4937	2.1518	11.6139	0	5.3049	3.3419	15.6259	0.8015	0.1896	0.4659	2.515	0	0.0512	0.2405	1.9942	0	12.7457	5.0419	24.9354	2.2882	0.5721
NSB__NUH A2_1_HP_IM3_0_Core[1,3,5,1]_component_data.tif - resolution #1	f981f3db-115b-45d2-9719-a036d880deab	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	654.73	4.398	45.5	26.5044	0.8139	8.9788	6.8477	0.6845	10.106	1849.4048	3.4285	18.7654	0	18.7654	7.1475	1307.9941	1.9582	12.1321	0.01	12.122	9.8722	1806.6052	2.3765	17.2565	5.1805	12.0761	11.8131	2161.793	3.2033	20.4451	4.7568	15.6884	0	0	0	0	0	0	0	0	0	0	0	0	11.8794	2173.9302	5.421	32.7433	5.7944	26.9489	79.75	33.5148	0.8922	11.2817	9.68	0.2606	7.4012	4.5968	18.7654	0	5.0382	3.0938	12.1321	0	8.715	3.4468	17.2565	0.1986	11.3173	3.7187	20.4451	1.8355	0.0023	0.0377	0.6724	0	0	0	0	0	11.5381	5.3266	32.7433	4.9967	3.8657	3.3671	16.097	0	2.281	1.9072	6.1605	0	7.2025	4.0074	16.5458	0.1986	10.6694	4.2252	20.0383	1.8355	0.0054	0.0572	0.6724	0	0	0	0	0	11.092	5.1859	30.1161	4.9967	0.5585
NSB__NUH A2_1_HP_IM3_0_Core[1,3,5,1]_component_data.tif - resolution #1	ce23ba77-e039-428b-9977-9f8321546b1b	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	673.93	4.103	35.5	21.8357	0.9356	7.3496	6.4364	0.5017	12.9901	1870.5696	6.7943	34.0352	4.4906	29.5445	8.8128	1269.0504	3.0434	16.8129	2.4011	14.4118	6.3414	913.1638	2.4633	11.3235	0	11.3235	9.0739	1306.6417	4.6992	20.5884	0.0353	20.5531	0	0	0	0	0	0	0.1087	15.6547	0.863	7.5302	0	7.5302	27.519	3962.7307	5.82	42.9952	15.2077	27.7875	74.75	31.7332	0.9328	10.7559	9	0.4376	8.4648	6.614	34.0352	0.7489	4.8024	4.5167	16.8129	0	4.0058	3.1839	11.3235	0	8.6348	4.7353	20.5884	0.0353	0.1601	0.6538	4.7583	0	0.0576	0.6014	7.5302	0	22.1743	8.3164	42.9952	3.272	4.3406	2.4333	10.2491	0.7489	1.1472	1.574	9.0931	0	1.8772	2.0846	8.8105	0	8.2345	4.7475	19.6108	1.5465	0.306	0.8801	4.7583	0	0.011	0.1021	1.2125	0	17.3032	7.188	34.356	3.272	0.4647
NSB__NUH A2_1_HP_IM3_0_Core[1,3,5,1]_component_data.tif - resolution #1	8c872886-b52b-449e-a4e7-e8d22b18453d	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	257.55	6.505	49.25	27.8252	0.7994	10.2109	7.4213	0.7242	10.7264	2166.7236	3.4057	19.2561	3.4465	15.8096	5.7422	1159.9199	1.5093	12.1322	2.5447	9.5875	4.2128	850.9931	0.9792	6.4736	0.5154	5.9582	5.6953	1150.4456	3.3126	13.3317	0	13.3317	0	0	0	0	0	0	0.5886	118.9048	1.6497	8.8329	0	8.8329	23.4716	4741.2588	5.2634	37.3047	15.7639	21.5408	93.75	36.1317	0.9024	13.1576	9.6638	0.7128	8.3465	4.0868	19.2561	1.031	4.0953	2.2769	12.1322	0.0101	3.1608	1.5311	6.4736	0	5.8682	3.3502	14.1912	0	0.014	0.1193	1.9092	0	0.3635	1.2554	8.8329	0	19.956	6.0664	37.3047	7.1347	5.6304	2.9505	16.1879	1.031	2.2159	1.3666	6.2758	0.0101	1.9601	1.1044	5.3285	0	6.0655	3.3911	14.1912	0.6901	0.03	0.1735	1.9092	0	0.1066	0.3906	3.2096	0	15.944	4.1263	28.0249	7.1347	0.5279
NSB__NUH A2_1_HP_IM3_0_Core[1,3,5,1]_component_data.tif - resolution #1	c4689fa2-70e8-4f8b-a7b2-0d91e489cf03	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	596.12	3.78	25	17.8937	0.9812	6.0657	5.3665	0.3367	5.5614	578.3835	1.3608	8.9754	2.3884	6.587	13.4836	1402.2921	4.1599	21.8964	4.4586	17.4378	7.3139	760.6461	2.1991	12.3484	1.9435	10.4049	6.749	701.8942	2.2578	11.5222	1.6121	9.9101	0	0	0	0	0	0	0.0395	4.104	0.3049	2.8922	0	2.8922	14.3666	1494.1229	2.8551	20.6208	5.4908	15.1299	61.25	28.2429	0.9649	9.4696	8	0.4627	4.1479	1.9184	8.9754	0.4296	6.9864	6.3685	21.8964	0.4685	4.4266	3.0772	12.3484	0.3595	4.4581	2.7971	11.5222	0.1781	0.0495	0.1698	1.4023	0	0.0606	0.2503	2.8922	0	9.9621	4.6126	20.6208	1.8879	3.12	1.5829	7.4236	0.4296	2.2612	2.0757	11.8691	0.4685	2.3268	1.533	6.5169	0.3595	2.7919	1.7936	8.4177	0.1781	0.0855	0.2164	1.4023	0	0.0759	0.2013	1.1017	0	6.7588	2.5307	13.3567	1.8879	0.3964
