Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: BCL6 (Cy5) mean	Nucleus: BCL6 (Cy5) sum	Nucleus: BCL6 (Cy5) std dev	Nucleus: BCL6 (Cy5) max	Nucleus: BCL6 (Cy5) min	Nucleus: BCL6 (Cy5) range	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: BCL2 (Opal 520) mean	Nucleus: BCL2 (Opal 520) sum	Nucleus: BCL2 (Opal 520) std dev	Nucleus: BCL2 (Opal 520) max	Nucleus: BCL2 (Opal 520) min	Nucleus: BCL2 (Opal 520) range	Nucleus: CD20 (Opal 540) mean	Nucleus: CD20 (Opal 540) sum	Nucleus: CD20 (Opal 540) std dev	Nucleus: CD20 (Opal 540) max	Nucleus: CD20 (Opal 540) min	Nucleus: CD20 (Opal 540) range	Nucleus: MYC (Opal 570) mean	Nucleus: MYC (Opal 570) sum	Nucleus: MYC (Opal 570) std dev	Nucleus: MYC (Opal 570) max	Nucleus: MYC (Opal 570) min	Nucleus: MYC (Opal 570) range	Nucleus: Ki67 (Opal 620) mean	Nucleus: Ki67 (Opal 620) sum	Nucleus: Ki67 (Opal 620) std dev	Nucleus: Ki67 (Opal 620) max	Nucleus: Ki67 (Opal 620) min	Nucleus: Ki67 (Opal 620) range	Nucleus: Autofluorescence mean	Nucleus: Autofluorescence sum	Nucleus: Autofluorescence std dev	Nucleus: Autofluorescence max	Nucleus: Autofluorescence min	Nucleus: Autofluorescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: BCL6 (Cy5) mean	Cell: BCL6 (Cy5) std dev	Cell: BCL6 (Cy5) max	Cell: BCL6 (Cy5) min	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: BCL2 (Opal 520) mean	Cell: BCL2 (Opal 520) std dev	Cell: BCL2 (Opal 520) max	Cell: BCL2 (Opal 520) min	Cell: CD20 (Opal 540) mean	Cell: CD20 (Opal 540) std dev	Cell: CD20 (Opal 540) max	Cell: CD20 (Opal 540) min	Cell: MYC (Opal 570) mean	Cell: MYC (Opal 570) std dev	Cell: MYC (Opal 570) max	Cell: MYC (Opal 570) min	Cell: Ki67 (Opal 620) mean	Cell: Ki67 (Opal 620) std dev	Cell: Ki67 (Opal 620) max	Cell: Ki67 (Opal 620) min	Cell: Autofluorescence mean	Cell: Autofluorescence std dev	Cell: Autofluorescence max	Cell: Autofluorescence min	Cytoplasm: BCL6 (Cy5) mean	Cytoplasm: BCL6 (Cy5) std dev	Cytoplasm: BCL6 (Cy5) max	Cytoplasm: BCL6 (Cy5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: BCL2 (Opal 520) mean	Cytoplasm: BCL2 (Opal 520) std dev	Cytoplasm: BCL2 (Opal 520) max	Cytoplasm: BCL2 (Opal 520) min	Cytoplasm: CD20 (Opal 540) mean	Cytoplasm: CD20 (Opal 540) std dev	Cytoplasm: CD20 (Opal 540) max	Cytoplasm: CD20 (Opal 540) min	Cytoplasm: MYC (Opal 570) mean	Cytoplasm: MYC (Opal 570) std dev	Cytoplasm: MYC (Opal 570) max	Cytoplasm: MYC (Opal 570) min	Cytoplasm: Ki67 (Opal 620) mean	Cytoplasm: Ki67 (Opal 620) std dev	Cytoplasm: Ki67 (Opal 620) max	Cytoplasm: Ki67 (Opal 620) min	Cytoplasm: Autofluorescence mean	Cytoplasm: Autofluorescence std dev	Cytoplasm: Autofluorescence max	Cytoplasm: Autofluorescence min	Nucleus/Cell area ratio
NSB__NUH B2_1_HP_IM3_0_Core[1,7,14,1]_component_data.tif - resolution #1	255f588a-67b7-4430-b109-7edc8b247c82	PathCellObject		DAPI	Polygon	76.66	3.434	36.75	22.7446	0.8927	8.0438	5.8947	0.7136	2.5806	381.9314	0.9454	7.0423	1.1958	5.8465	9.8544	1458.4525	2.3134	14.6464	4.0322	10.6142	2.9341	434.2403	0.7573	5.6237	1.4241	4.1996	2.9489	436.4336	0.7318	5.0025	1.2759	3.7266	0.0722	10.6827	0.2806	1.7338	0	1.7338	0.0501	7.413	0.3071	2.7468	0	2.7468	13.4343	1988.2765	1.6799	18.3162	7.6181	10.6981	72.75	32.2601	0.8784	11.3253	8	0.7124	2.3226	0.846	7.0423	0.5117	5.9805	4.3877	14.6464	0	2.8163	0.9845	5.9493	0.673	2.9521	0.9733	6.346	0.6253	0.0916	0.2755	1.7338	0	0.0347	0.2446	2.7468	0	12.4275	1.9166	18.3162	7.0385	2.0575	0.6308	3.9215	0.5117	1.9989	1.4761	8.0618	0	2.6952	1.1635	5.9493	0.673	2.9554	1.1735	6.346	0.6253	0.1116	0.2697	1.2804	0	0.0189	0.1558	1.7743	0	11.3928	1.5643	15.235	7.0385	0.5121
NSB__NUH B2_1_HP_IM3_0_Core[1,7,14,1]_component_data.tif - resolution #1	d0923e05-28db-4db3-9fba-d466eff9ab3c	PathCellObject		DAPI	Polygon	131.26	3.378	24	17.9893	0.932	6.0647	5.4056	0.3208	3.0103	295.0074	0.9487	5.9681	1.8164	4.1517	6.3217	619.5237	1.6659	9.8003	2.6997	7.1006	1.2465	122.1572	0.268	1.8903	0.6095	1.2808	1.5016	147.161	0.5497	2.501	0.0104	2.4906	0.9449	92.5985	0.7838	2.68	0	2.68	0.0496	4.8628	0.1472	0.8264	0	0.8264	13.7923	1351.641	1.6776	17.7968	10.0336	7.7633	54.5	27.2987	0.919	9.2184	7.5	0.4704	2.8204	0.9788	5.9681	1.1899	3.6478	2.6847	9.8003	0.6019	1.3235	0.4235	2.846	0.3596	1.6065	0.5606	3.2317	0.0104	0.7051	0.7358	2.68	0	0.0521	0.2171	2.571	0	13.8658	2.1236	19.4873	9.3676	2.6715	0.9799	5.577	1.1899	1.5515	0.8075	5.7192	0.6019	1.3839	0.5065	2.846	0.3596	1.6887	0.5575	3.2317	0.4437	0.5171	0.6385	2.1889	0	0.0541	0.2597	2.571	0	13.9234	2.4217	19.4873	9.3676	0.423
NSB__NUH B2_1_HP_IM3_0_Core[1,7,14,1]_component_data.tif - resolution #1	660c6ede-20f8-42b3-8dd6-972397c5611e	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	211.62	4.75	33.75	26.3327	0.6116	9.8849	5.6651	0.7138	4.4917	615.3613	6.1839	30.1326	1.6016	28.531	10.5256	1442.0052	2.8574	15.3643	4.6994	10.6649	3.2065	439.2918	1.9539	10.9243	1.5832	9.3411	2.522	345.51	1.6153	8.7174	0	8.7174	0.0495	6.7838	0.1962	1.3143	0	1.3143	3.6705	502.8568	7.8812	45.0765	0	45.0765	17.2591	2364.5032	3.8953	35.0285	11.2835	23.745	79.25	33.9852	0.8622	12.5139	8.8035	0.5989	5.3731	6.5847	30.1326	1.1739	5.946	4.5454	15.3643	0.0028	3.5401	2.5962	11.8918	0.9156	2.8027	2.0177	9.3598	0	0.1206	0.3097	1.8269	0	3.1564	7.2606	45.0765	0	17.4001	4.8485	35.0285	10.285	6.033	6.8115	27.9311	1.1739	2.5176	1.5829	6.3596	0.0028	3.7898	2.9691	11.8918	0.9156	3.0128	2.2544	9.3598	0	0.1739	0.3642	1.8269	0	2.7715	6.7554	33.5472	0	17.5056	5.4625	33.8839	10.285	0.419
NSB__NUH B2_1_HP_IM3_0_Core[1,7,14,1]_component_data.tif - resolution #1	55965126-ae12-4c6a-85ae-873d7532863f	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	221.61	3.32	31	20.0274	0.9712	7.0289	5.5	0.5744	2.5311	321.4496	0.6409	4.7989	1.4106	3.3883	4.9063	623.0938	0.9085	7.2123	3.2594	3.9529	1.6384	208.0811	0.4695	3.9852	0.9258	3.0594	1.2288	156.0591	0.6686	3.8591	0.1827	3.6764	0.2044	25.9535	0.312	1.4951	0	1.4951	3.9613	503.0887	3.1626	13.1718	0.0012	13.1706	16.189	2055.9973	1.4613	20.8932	13.1682	7.725	62	29.2946	0.9079	10.416	7	0.6951	2.5812	0.9578	9.2048	1.1466	3.5993	1.7234	7.2123	0.761	1.8419	0.9245	7.2178	0.6212	1.724	1.4039	8.7232	0.0136	0.133	0.262	1.4951	0	3.0274	2.8666	13.1718	0	16.3113	2.2266	23.7906	11.2289	2.6325	1.1995	9.2048	1.1466	2.2607	1.2733	5.852	0.761	2.0504	1.1936	7.2178	0.6212	2.2311	1.7423	8.7232	0.0136	0.06	0.1706	0.9045	0	2.0708	2.1523	11.7174	0	16.4365	2.8032	23.7906	11.2289	0.4868
NSB__NUH B2_1_HP_IM3_0_Core[1,7,14,1]_component_data.tif - resolution #1	5623fa6e-6888-44da-9a1c-db8c85b87852	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	258.53	1.814	15	16.6853	0.6771	6.6833	3.4999	0.8341	4.3747	271.229	2.211	12.3823	1.4804	10.9019	6.7711	419.8097	1.6306	10.7308	3.4504	7.2804	4.9681	308.0209	2.0474	8.973	1.5365	7.4365	5.9169	366.8449	1.1461	8.5921	3.1785	5.4137	0.0707	4.3853	0.359	2.5201	0	2.5201	0.0009	0.0538	0.0053	0.0397	0	0.0397	16.855	1045.0083	3.4187	24.2071	11.7337	12.4733	31.5	23.6643	0.7069	9.5199	4.6982	0.8801	4.1561	2.1432	12.3823	0.6562	4.591	2.8858	10.7308	0.0025	4.2601	2.7675	9.9998	0.2928	5.1296	2.2571	9.7617	0.7148	0.0345	0.2523	2.5201	0	0.0245	0.2122	2.2719	0	15.2244	6.1505	29.0869	2.2256	3.9476	2.072	8.242	0.6562	2.5115	2.2058	7.665	0.0025	3.5849	3.1836	9.9998	0.2928	4.3787	2.7577	9.7617	0.7148	0	0	0	0	0.047	0.2959	2.2719	0	13.6691	7.6357	29.0869	2.2256	0.4749
NSB__NUH B2_1_HP_IM3_0_Core[1,7,14,1]_component_data.tif - resolution #1	fc6c6fb3-5897-433e-894b-cb5e0a666f57	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	442.64	1.988	15.5	15.3591	0.8257	6.0081	3.4227	0.8362	7.5577	498.8092	3.0287	14.1183	3.3454	10.7729	5.8152	383.8057	1.1867	8.5366	3.6497	4.8869	8.3704	552.4435	0.9651	10.5635	6.3872	4.1762	6.6075	436.0943	1.5012	9.2675	3.2232	6.0443	0	0	0	0	0	0	0	0	0	0	0	0	17.456	1152.0988	2.3961	21.862	13.2832	8.5788	33.25	23.0371	0.7873	9.0781	4.3696	0.8735	5.2958	3.1649	14.1183	0.006	3.9082	2.1933	8.5366	0.0017	7.4355	2.3376	11.1563	1.3936	6.5458	1.9878	10.6662	1.7994	0	0	0	0	0	0	0	0	17.2928	2.7342	22.8115	10.2878	3.1323	1.1203	6.0488	0.006	2.084	1.1076	4.533	0.0017	6.5413	2.8667	11.1563	1.3936	6.4868	2.3716	10.6662	1.7994	0	0	0	0	0	0	0	0	17.1367	3.032	22.8115	10.2878	0.4611
NSB__NUH B2_1_HP_IM3_0_Core[1,7,14,1]_component_data.tif - resolution #1	f763de97-21ca-4ffb-b628-80884fec60ae	PathCellObject		DAPI	Polygon	601.21	2.918	17.75	17.2009	0.7539	6.3291	4.0051	0.7249	2.4376	190.131	0.6093	3.7956	1.2777	2.518	7.043	549.3564	1.4198	11.2812	4.2919	6.9893	1.4492	113.0388	0.3344	2.1632	0.7035	1.4597	1.4509	113.1699	0.4098	2.5489	0.4011	2.1478	0.1843	14.3779	0.3214	1.5198	0	1.5198	0.2939	22.9261	0.6793	4.1803	0	4.1803	10.7761	840.5386	1.84	15.6709	5.7555	9.9154	42.25	24.9023	0.8562	8.5563	6.9163	0.5968	1.9735	0.8585	4.4326	0.1574	4.4529	2.8031	11.2812	0.8049	1.4318	0.3989	2.6521	0.4841	1.4723	0.4661	2.954	0.2634	0.119	0.2614	1.5198	0	0.1682	0.5023	4.1803	0	9.3488	2.3805	15.6709	3.6192	1.5842	0.8458	4.4326	0.1574	2.2806	1.5406	6.5468	0.8049	1.4173	0.4471	2.6521	0.4841	1.4903	0.5101	2.954	0.2634	0.0643	0.1822	1.2044	0	0.0627	0.2353	1.353	0	8.1517	2.1122	13.5079	3.6192	0.4272
NSB__NUH B2_1_HP_IM3_0_Core[1,7,14,1]_component_data.tif - resolution #1	8cf8ac81-724c-4acd-8685-8e11e3c882e8	PathCellObject		DAPI	Polygon	616.55	3.299	18.5	15.9561	0.9131	5.7096	4.1431	0.6806	2.7499	211.7452	0.7877	5.1176	0.8871	4.2305	5.1224	394.427	1.0263	7.8209	3.0386	4.7823	1.2624	97.2059	0.3149	2.0721	0.5142	1.5579	0.7799	60.0535	0.4451	1.9105	0.0005	1.91	1.1748	90.46	0.8475	2.9364	0	2.9364	0.1703	13.11	0.3549	1.8802	0	1.8802	12.3594	951.6775	1.7772	16.5003	8.142	8.3582	46.25	24.9442	0.9341	8.5636	7.5	0.3628	2.4909	0.9844	5.1176	0.6572	3.0439	1.9292	7.8209	0.5831	1.3564	0.5855	3.7425	0.2992	1.1579	0.7707	4.3971	0.0005	0.5873	0.7882	2.9364	0	0.1743	0.3797	2.4459	0	11.0099	2.1743	16.6846	6.3136	2.3095	1.0679	4.6115	0.6572	1.589	0.6545	3.313	0.5831	1.4221	0.7108	3.7425	0.2992	1.4225	0.8389	4.3971	0.0082	0.1761	0.3805	2.1194	0	0.1772	0.3977	2.4459	0	10.0651	1.9177	16.6846	6.3136	0.3999
NSB__NUH B2_1_HP_IM3_0_Core[1,7,14,1]_component_data.tif - resolution #1	4993f6f5-7df4-4c44-b9a7-ccb23b7c6a1f	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	631.55	3.645	20.75	17.3999	0.8613	6.5796	3.9058	0.814	8.3603	718.9849	5.8813	22.3468	1.9128	20.434	9.188	790.1711	3.3912	15.5538	3.1487	12.4051	4.1912	360.4435	2.194	10.0379	0.5534	9.4845	1.124	96.6612	1.3866	7.489	0	7.489	0	0	0	0	0	0	35.9901	3095.1479	27.8521	90.9732	3.6141	87.3591	13.2755	1141.6887	3.473	22.114	7.5452	14.5688	46.25	25.4721	0.8958	8.8943	6.8022	0.5894	7.0583	5.9978	22.3468	0.5043	5.0504	4.5458	15.5538	0	3.8126	2.69	10.3185	0.372	1.501	2.2275	11.0486	0	0.0177	0.085	0.6497	0	24.4605	25.6341	90.9732	0	12.2392	3.6456	22.1685	2.8354	5.9605	5.9021	20.3937	0.5043	1.5618	1.3088	5.5202	0	3.4934	3.0202	10.3185	0.372	1.819	2.7103	11.0486	0	0.0326	0.1135	0.6497	0	14.7395	18.8455	72.2519	0	11.3654	3.5737	22.1685	2.8354	0.4453
NSB__NUH B2_1_HP_IM3_0_Core[1,7,14,1]_component_data.tif - resolution #1	515ae45f-f4c6-4954-9f86-2495415a5606	PathCellObject		DAPI	Polygon	657.52	2.967	19.5	16.0155	0.9554	5.4968	4.7299	0.4237	1.2054	97.6373	0.2899	1.8781	0.1392	1.7389	13.6675	1107.0653	3.7547	19.1052	3.701	15.4042	1.2638	102.3712	0.5502	2.7039	0.0999	2.604	2.3062	186.7994	0.6588	4.1579	0.2098	3.9482	0.3904	31.6253	0.4893	1.8781	0	1.8781	0.1403	11.3612	0.3718	1.7071	0	1.7071	14.6522	1186.8257	2.3427	20.9236	8.7782	12.1453	45.25	24.69	0.9328	8.6637	6.5	0.589	1.4959	0.7347	4.3896	0.0697	6.969	6.5362	19.1052	0.3867	0.9126	0.603	2.7039	0.003	1.7631	0.921	4.6685	0.0009	0.3531	0.4833	2.028	0	0.0673	0.2566	1.7071	0	11.7462	4.7551	22.0815	2.2896	1.7267	0.8859	4.3896	0.0697	1.6497	1.1212	6.1776	0.3867	0.6336	0.4878	2.24	0.003	1.3318	0.8719	4.6685	0.0009	0.3234	0.4788	2.028	0	0.0093	0.0384	0.227	0	9.4385	4.9241	22.0815	2.2896	0.4259
